L	D	resultado	R	PAPI_L1_TCM	fallo
256	1	12.896733	2048	1498	0
256	1	14.330234	2048	2034	0
256	1	12.390840	2048	1789	0
256	1	13.012305	2048	1492	0
256	1	13.540781	2048	1811	0
256	1	12.535732	2048	1895	0
256	1	11.511401	2048	1640	0
256	1	11.079512	2048	1626	0
256	1	11.250664	2048	2097	0
256	1	12.466191	2048	1491	0
256	5	10.907188	409	496	0
256	5	10.846455	409	500	0
256	5	14.730758	409	2251	0
256	5	9.244988	409	483	0
256	5	9.220636	409	473	0
256	5	12.946895	409	2468	0
256	5	12.596333	409	1831	0
256	5	9.522054	409	482	0
256	5	9.298875	409	481	0
256	5	9.264156	409	483	0
256	12	9.516875	256	496	0
256	12	9.370469	256	479	0
256	12	9.342969	256	476	0
256	12	9.383750	256	495	0
256	12	9.369531	256	483	0
256	12	9.331719	256	466	0
256	12	9.360000	256	480	0
256	12	9.368906	256	492	0
256	12	9.358594	256	491	0
256	12	9.452500	256	488	0
256	51	9.374063	256	483	0
256	51	9.385312	256	468	0
256	51	9.433438	256	496	0
256	51	9.444844	256	487	0
256	51	12.121562	256	1039	0
256	51	9.384844	256	490	0
256	51	13.480469	256	1466	0
256	51	13.597031	256	1979	0
256	51	13.651406	256	1490	0
256	51	9.423438	256	487	0
256	93	9.489219	256	6071	0
256	93	15.164844	256	16308	0
256	93	9.382344	256	5795	0
256	93	9.763281	256	5810	0
256	93	9.391250	256	5376	0
256	93	9.394687	256	5968	0
256	93	9.477813	256	5039	0
256	93	9.499531	256	5642	0
256	93	9.405313	256	5634	0
256	93	9.398906	256	5012	0
768	1	10.766055	6144	116302	0
768	1	9.092012	6144	115250	0
768	1	9.172656	6144	115502	0
768	1	9.090501	6144	115494	0
768	1	9.138730	6144	115524	0
768	1	9.092507	6144	115394	0
768	1	9.168346	6144	115624	0
768	1	9.087676	6144	115469	0
768	1	9.362852	6144	115392	0
768	1	9.092539	6144	115447	0
768	5	9.223941	1228	84500	0
768	5	13.655505	1228	83620	0
768	5	13.443941	1228	84119	0
768	5	9.236287	1228	84501	0
768	5	9.217687	1228	84426	0
768	5	9.835603	1228	84565	0
768	5	10.086645	1228	84495	0
768	5	9.223160	1228	84485	0
768	5	9.223388	1228	84447	0
768	5	9.847394	1228	84641	0
768	12	9.518490	768	81651	0
768	12	9.487396	768	81614	0
768	12	9.498802	768	81581	0
768	12	9.464688	768	81572	0
768	12	9.458177	768	81682	0
768	12	9.458802	768	81643	0
768	12	9.497604	768	81614	0
768	12	9.500521	768	81722	0
768	12	10.140260	768	81750	0
768	12	9.479635	768	81730	0
768	51	9.745156	768	81679	0
768	51	9.515208	768	81438	0
768	51	9.492708	768	81688	0
768	51	9.735312	768	81747	0
768	51	15.413958	768	81402	0
768	51	16.328385	768	81080	0
768	51	9.571406	768	81564	0
768	51	9.518802	768	81749	0
768	51	12.712760	768	81519	0
768	51	9.473802	768	81772	0
768	93	9.610885	768	76846	0
768	93	9.801302	768	76411	0
768	93	9.615312	768	77721	0
768	93	9.600208	768	75658	0
768	93	11.048698	768	78131	0
768	93	9.797396	768	77703	0
768	93	9.610990	768	76928	0
768	93	9.651927	768	77476	0
768	93	9.763385	768	77449	0
768	93	9.615573	768	76637	0
2048	1	9.136401	16384	307494	0
2048	1	9.130708	16384	307633	0
2048	1	9.142397	16384	307572	0
2048	1	14.540381	16384	309730	0
2048	1	9.117007	16384	307582	0
2048	1	9.134934	16384	307288	0
2048	1	9.171924	16384	307290	0
2048	1	9.144363	16384	307431	0
2048	1	9.093296	16384	307793	0
2048	1	9.109097	16384	307665	0
2048	5	9.822625	3276	225544	0
2048	5	9.265849	3276	225265	0
2048	5	9.198462	3276	225371	0
2048	5	9.374884	3276	225338	0
2048	5	9.197082	3276	225373	0
2048	5	9.191819	3276	225301	0
2048	5	9.576447	3276	225136	0
2048	5	9.287741	3276	225419	0
2048	5	13.776166	3276	224653	0
2048	5	16.122515	3276	226341	0
2048	12	9.633633	2048	217559	0
2048	12	10.632871	2048	217634	0
2048	12	9.775918	2048	217531	0
2048	12	9.669980	2048	217514	0
2048	12	10.334980	2048	217745	0
2048	12	9.541738	2048	217411	0
2048	12	9.774785	2048	217965	0
2048	12	9.563887	2048	217823	0
2048	12	9.632852	2048	217616	0
2048	12	9.746680	2048	217527	0
2048	51	10.043437	2048	217846	0
2048	51	9.778926	2048	217581	0
2048	51	10.150449	2048	217855	0
2048	51	10.005859	2048	217686	0
2048	51	9.984473	2048	217488	0
2048	51	9.884844	2048	217495	0
2048	51	10.010508	2048	217663	0
2048	51	9.956953	2048	217669	0
2048	51	17.906523	2048	219299	0
2048	51	12.927051	2048	217850	0
2048	93	10.198809	2048	218215	0
2048	93	9.916055	2048	217750	0
2048	93	10.164512	2048	217620	0
2048	93	9.907402	2048	217693	0
2048	93	9.858125	2048	218021	0
2048	93	10.110410	2048	217824	0
2048	93	10.190742	2048	217878	0
2048	93	9.939277	2048	217776	0
2048	93	10.027383	2048	217830	0
2048	93	10.196191	2048	217711	0
3072	1	9.943001	24576	462210	0
3072	1	9.150641	24576	461388	0
3072	1	10.701883	24576	462938	0
3072	1	9.142153	24576	461199	0
3072	1	9.109826	24576	461158	0
3072	1	9.520898	24576	461807	0
3072	1	9.114757	24576	460967	0
3072	1	9.132100	24576	461287	0
3072	1	9.533690	24576	461867	0
3072	1	9.193324	24576	461284	0
3072	5	9.174315	4915	337805	0
3072	5	9.256269	4915	338236	0
3072	5	9.242051	4915	338199	0
3072	5	9.473042	4915	338237	0
3072	5	13.823601	4915	339055	0
3072	5	9.306360	4915	338180	0
3072	5	10.797371	4915	338529	0
3072	5	9.485965	4915	338037	0
3072	5	9.165298	4915	338155	0
3072	5	9.271976	4915	338350	0
3072	12	10.112214	3072	326362	0
3072	12	10.167409	3072	326439	0
3072	12	11.482057	3072	326508	0
3072	12	10.221224	3072	326303	0
3072	12	10.274193	3072	326448	0
3072	12	9.983854	3072	326430	0
3072	12	10.180599	3072	326216	0
3072	12	10.361432	3072	326585	0
3072	12	10.152083	3072	326433	0
3072	12	10.633542	3072	326363	0
3072	51	10.576406	3072	326608	0
3072	51	10.551602	3072	326619	0
3072	51	31.147005	3072	330205	0
3072	51	10.710521	3072	326494	0
3072	51	10.458828	3072	326801	0
3072	51	10.505365	3072	326412	0
3072	51	10.863333	3072	326375	0
3072	51	10.523685	3072	326615	0
3072	51	10.650195	3072	326594	0
3072	51	10.737266	3072	326762	0
3072	93	11.838620	3072	330051	0
3072	93	11.192969	3072	330164	0
3072	93	11.331146	3072	330683	0
3072	93	11.228346	3072	330400	0
3072	93	11.798568	3072	331385	0
3072	93	23.409531	3072	334427	0
3072	93	12.840404	3072	331552	0
3072	93	11.744440	3072	330847	0
3072	93	11.481237	3072	330649	0
3072	93	11.134219	3072	330463	0
