L	D	resultado	R	PAPI_L3_TCA	fallo
256	1	19.690117	2048	179	0
256	1	10.752168	2048	216	0
256	1	12.902734	2048	151	0
256	1	11.456680	2048	349	0
256	1	12.398315	2048	146	0
256	1	11.468335	2048	159	0
256	1	11.470791	2048	144	0
256	1	11.885020	2048	218	0
256	1	14.670762	2048	570	0
256	1	11.041602	2048	205	0
256	5	10.907579	409	128	0
256	5	10.485281	409	176	0
256	5	10.494083	409	160	0
256	5	10.468264	409	154	0
256	5	11.599022	409	230	0
256	5	10.132225	409	192	0
256	5	10.134279	409	155	0
256	5	9.884303	409	145	0
256	5	13.586112	409	470	0
256	5	9.519315	409	145	0
256	12	9.362813	256	213	0
256	12	9.362187	256	221	0
256	12	9.374688	256	196	0
256	12	9.381875	256	274	0
256	12	9.413438	256	254	0
256	12	9.363750	256	228	0
256	12	9.390156	256	233	0
256	12	9.374063	256	191	0
256	12	9.363437	256	204	0
256	12	9.365937	256	199	0
256	51	9.388750	256	343	0
256	51	9.413594	256	336	0
256	51	9.390156	256	331	0
256	51	9.371875	256	346	0
256	51	9.366250	256	351	0
256	51	9.737344	256	407	0
256	51	9.744219	256	381	0
256	51	9.382031	256	349	0
256	51	9.362656	256	349	0
256	51	9.360781	256	326	0
256	93	9.485938	256	337	0
256	93	9.441562	256	346	0
256	93	14.860312	256	501	0
256	93	9.486562	256	350	0
256	93	9.545938	256	376	0
256	93	9.407813	256	352	0
256	93	9.828437	256	422	0
256	93	9.734375	256	390	0
256	93	9.422969	256	345	0
256	93	9.393594	256	340	0
768	1	9.417070	6144	542	0
768	1	9.107370	6144	271	0
768	1	9.244303	6144	431	0
768	1	9.406048	6144	557	0
768	1	10.488548	6144	1394	0
768	1	9.113815	6144	321	0
768	1	9.227474	6144	482	0
768	1	9.094316	6144	276	0
768	1	9.162396	6144	352	0
768	1	9.187780	6144	362	0
768	5	9.221889	1228	277	0
768	5	9.231401	1228	302	0
768	5	9.229186	1228	316	0
768	5	9.856580	1228	516	0
768	5	13.477492	1228	579	0
768	5	9.431987	1228	518	0
768	5	10.048078	1228	500	0
768	5	9.227231	1228	290	0
768	5	10.594169	1228	484	0
768	5	9.230065	1228	252	0
768	12	9.495677	768	425	0
768	12	11.451510	768	455	0
768	12	10.156927	768	515	0
768	12	9.489323	768	459	0
768	12	9.496146	768	452	0
768	12	9.462500	768	432	0
768	12	9.994948	768	1166	0
768	12	9.599792	768	484	0
768	12	13.692604	768	657	0
768	12	9.480677	768	489	0
768	51	9.485729	768	912	0
768	51	9.500781	768	904	0
768	51	9.629010	768	2275	0
768	51	9.981510	768	4591	0
768	51	12.501563	768	1301	0
768	51	9.521198	768	923	0
768	51	9.550000	768	904	0
768	51	10.066927	768	6207	0
768	51	9.627344	768	1960	0
768	51	9.708281	768	1736	0
768	93	9.663438	768	922	0
768	93	9.847031	768	1072	0
768	93	9.975104	768	6816	0
768	93	9.831563	768	5324	0
768	93	9.883854	768	5210	0
768	93	10.028333	768	9527	0
768	93	9.907031	768	5299	0
768	93	9.629635	768	951	0
768	93	9.646927	768	1125	0
768	93	9.895417	768	6178	0
2048	1	9.106599	16384	1794	0
2048	1	9.679382	16384	2036	0
2048	1	9.100303	16384	3284	0
2048	1	10.032991	16384	3053	0
2048	1	12.379897	16384	11115	0
2048	1	10.108713	16384	4165	0
2048	1	9.098035	16384	3128	0
2048	1	9.509602	16384	3527	0
2048	1	9.140334	16384	2211	0
2048	1	9.100852	16384	3508	0
2048	5	9.199475	3276	698	0
2048	5	9.559304	3276	3820	0
2048	5	9.308462	3276	964	0
2048	5	9.215812	3276	719	0
2048	5	9.414847	3276	968	0
2048	5	9.184188	3276	608	0
2048	5	9.181136	3276	642	0
2048	5	9.245250	3276	1897	0
2048	5	9.190818	3276	654	0
2048	5	9.375006	3276	996	0
2048	12	15.350938	2048	9973	0
2048	12	9.985039	2048	18665	0
2048	12	9.868711	2048	5751	0
2048	12	10.299785	2048	16931	0
2048	12	9.941797	2048	13369	0
2048	12	9.927637	2048	19668	0
2048	12	9.461523	2048	2421	0
2048	12	9.698613	2048	12996	0
2048	12	9.735684	2048	13981	0
2048	12	10.424766	2048	4684	0
2048	51	9.975098	2048	19709	0
2048	51	9.873359	2048	20592	0
2048	51	9.940488	2048	28941	0
2048	51	9.965430	2048	22597	0
2048	51	10.069434	2048	24321	0
2048	51	9.943066	2048	17238	0
2048	51	9.871797	2048	14949	0
2048	51	9.890176	2048	11839	0
2048	51	9.796738	2048	23580	0
2048	51	28.483701	2048	31545	0
2048	93	10.611230	2048	12371	0
2048	93	9.977285	2048	9551	0
2048	93	16.525723	2048	58650	0
2048	93	10.052344	2048	12726	0
2048	93	9.981172	2048	9759	0
2048	93	10.193027	2048	16960	0
2048	93	13.701484	2048	37654	0
2048	93	9.979141	2048	11671	0
2048	93	10.124961	2048	18896	0
2048	93	10.161035	2048	18125	0
3072	1	9.399784	24576	7858	0
3072	1	9.109061	24576	8670	0
3072	1	9.449012	24576	7869	0
3072	1	11.983351	24576	13459	0
3072	1	9.101270	24576	9826	0
3072	1	9.177354	24576	8431	0
3072	1	9.117827	24576	5930	0
3072	1	9.144884	24576	10462	0
3072	1	9.232515	24576	8521	0
3072	1	9.179224	24576	7824	0
3072	5	9.176741	4915	3761	0
3072	5	9.386979	4915	5562	0
3072	5	9.816732	4915	4957	0
3072	5	9.201375	4915	4626	0
3072	5	12.423471	4915	6550	0
3072	5	12.168570	4915	9451	0
3072	5	9.483532	4915	4386	0
3072	5	10.145807	4915	6082	0
3072	5	9.173599	4915	3591	0
3072	5	9.287154	4915	5652	0
3072	12	10.060078	3072	39533	0
