L	D	resultado	R	PAPI_LD_INS	fallo
256	1	19.963125	2048	2253720	0
256	1	14.067051	2048	2253753	0
256	1	14.791367	2048	2253767	0
256	1	11.003848	2048	2253857	0
256	1	11.487178	2048	2253754	0
256	1	11.652725	2048	2253813	0
256	1	11.056416	2048	2253749	0
256	1	10.774277	2048	2253757	0
256	1	10.681563	2048	2253755	0
256	1	10.327324	2048	2253748	0
256	5	10.583961	409	450842	0
256	5	10.125183	409	450840	0
256	5	10.120391	409	450841	0
256	5	9.823423	409	450842	0
256	5	9.815306	409	450840	0
256	5	12.687090	409	450952	0
256	5	9.516675	409	450841	0
256	5	13.502200	409	450714	0
256	5	9.266993	409	450840	0
256	5	9.239413	409	450839	0
256	12	9.694844	256	282536	0
256	12	9.384063	256	282539	0
256	12	9.357812	256	282541	0
256	12	9.405313	256	282535	0
256	12	9.370938	256	282543	0
256	12	9.355781	256	282538	0
256	12	9.363437	256	282539	0
256	12	9.475156	256	282542	0
256	12	9.380625	256	282538	0
256	12	12.292344	256	282633	0
256	51	9.350469	256	282539	0
256	51	9.374375	256	282538	0
256	51	9.366250	256	282539	0
256	51	9.361094	256	282538	0
256	51	9.394531	256	282540	0
256	51	9.605937	256	282544	0
256	51	9.392969	256	282535	0
256	51	9.373750	256	282540	0
256	51	9.396406	256	282541	0
256	51	9.361094	256	282547	0
256	93	9.413594	256	282547	0
256	93	9.434062	256	282542	0
256	93	14.853125	256	279628	0
256	93	15.429375	256	280349	0
256	93	15.485625	256	278279	0
256	93	9.387969	256	282542	0
256	93	9.466250	256	282541	0
256	93	9.451406	256	282543	0
256	93	10.180469	256	282541	0
256	93	9.387187	256	282544	0
768	1	9.169382	6144	6759362	0
768	1	9.179622	6144	6759405	0
768	1	9.092324	6144	6759353	0
768	1	10.370579	6144	6759348	0
768	1	9.088978	6144	6759354	0
768	1	9.087422	6144	6759361	0
768	1	9.090221	6144	6759354	0
768	1	9.213880	6144	6759461	0
768	1	10.772982	6144	6759250	0
768	1	9.091100	6144	6759354	0
768	5	9.212085	1228	1351757	0
768	5	9.214919	1228	1351751	0
768	5	9.537948	1228	1351860	0
768	5	9.227557	1228	1351757	0
768	5	16.832020	1228	1350927	0
768	5	9.220717	1228	1351756	0
768	5	10.198893	1228	1351921	0
768	5	9.217590	1228	1351756	0
768	5	9.222150	1228	1351750	0
768	5	9.230684	1228	1351759	0
768	12	9.656198	768	845855	0
768	12	9.525885	768	845759	0
768	12	9.483385	768	845758	0
768	12	9.482500	768	845753	0
768	12	9.490156	768	845752	0
768	12	9.640104	768	845759	0
768	12	9.477292	768	845758	0
768	12	9.531146	768	845755	0
768	12	9.890313	768	845760	0
768	12	9.463646	768	845759	0
768	51	9.494271	768	845756	0
768	51	9.790938	768	845759	0
768	51	9.648750	768	845757	0
768	51	9.486719	768	845750	0
768	51	9.787292	768	845736	0
768	51	9.489844	768	845755	0
768	51	9.515313	768	845756	0
768	51	9.524792	768	845758	0
768	51	22.059635	768	839096	0
768	51	9.825885	768	845756	0
768	93	9.937812	768	845761	0
768	93	9.709792	768	845760	0
768	93	9.724740	768	845757	0
768	93	10.246458	768	845754	0
768	93	9.821563	768	845753	0
768	93	10.035937	768	845758	0
768	93	10.135990	768	845753	0
768	93	9.862135	768	845759	0
768	93	10.201354	768	845757	0
768	93	9.751719	768	845757	0
2048	1	9.099600	16384	18023497	0
2048	1	9.154138	16384	18023497	0
2048	1	9.106521	16384	18023497	0
2048	1	9.104282	16384	18023462	0
2048	1	9.236553	16384	18023455	0
2048	1	11.514731	16384	18023095	0
2048	1	9.110950	16384	18023431	0
2048	1	9.637004	16384	18023743	0
2048	1	9.358726	16384	18023416	0
2048	1	9.137070	16384	18023487	0
2048	5	9.183773	3276	3604555	0
2048	5	9.960366	3276	3604318	0
2048	5	9.206190	3276	3604558	0
2048	5	9.364493	3276	3604647	0
2048	5	9.206044	3276	3604552	0
2048	5	9.277937	3276	3604650	0
2048	5	9.179597	3276	3604558	0
2048	5	14.066252	3276	3602606	0
2048	5	9.433724	3276	3604666	0
2048	5	9.196471	3276	3604555	0
2048	12	9.483906	2048	2253751	0
2048	12	9.744980	2048	2253760	0
2048	12	15.456211	2048	2244441	0
2048	12	9.569082	2048	2253761	0
2048	12	10.375137	2048	2253736	0
2048	12	9.672676	2048	2253756	0
2048	12	9.608848	2048	2253756	0
2048	12	9.729043	2048	2253753	0
2048	12	10.005547	2048	2253782	0
2048	12	9.539082	2048	2253758	0
2048	51	9.950723	2048	2253753	0
2048	51	10.011992	2048	2253757	0
2048	51	9.976113	2048	2253755	0
2048	51	10.258945	2048	2253762	0
2048	51	10.672383	2048	2253763	0
2048	51	10.045664	2048	2253756	0
2048	51	9.946875	2048	2253757	0
2048	51	9.934922	2048	2253758	0
2048	51	9.967168	2048	2253756	0
2048	51	12.008008	2048	2251050	0
2048	93	10.215703	2048	2253759	0
2048	93	21.851934	2048	2202861	0
2048	93	10.189883	2048	2253761	0
2048	93	10.174707	2048	2253760	0
2048	93	10.282559	2048	2253759	0
2048	93	10.517500	2048	2253722	0
2048	93	10.043633	2048	2253756	0
2048	93	10.769336	2048	2253761	0
2048	93	10.631953	2048	2252734	0
2048	93	10.026035	2048	2253754	0
3072	1	9.126543	24576	27034871	0
3072	1	9.452967	24576	27034963	0
3072	1	9.137969	24576	27034694	0
3072	1	9.667451	24576	27034507	0
3072	1	11.578031	24576	27034159	0
3072	1	9.151943	24576	27034853	0
3072	1	9.401836	24576	27034756	0
3072	1	9.126611	24576	27034669	0
3072	1	9.102541	24576	27034664	0
3072	1	9.522845	24576	27034647	0
3072	5	9.323320	4915	5407543	0
3072	5	9.173005	4915	5407455	0
3072	5	9.376415	4915	5407506	0
3072	5	9.212663	4915	5407461	0
3072	5	9.408407	4915	5407526	0
3072	5	9.323744	4915	5407382	0
3072	5	9.301086	4915	5407532	0
3072	5	11.754417	4915	5405190	0
3072	5	9.971508	4915	5406822	0
3072	5	9.262226	4915	5407541	0
3072	12	10.112370	3072	3380162	0
3072	12	10.250586	3072	3380264	0
3072	12	10.066523	3072	3380161	0
3072	12	10.386159	3072	3380233	0
3072	12	10.206602	3072	3380162	0
3072	12	10.311159	3072	3380205	0
3072	12	9.978646	3072	3380159	0
3072	12	10.089414	3072	3380157	0
3072	12	10.198438	3072	3380159	0
3072	12	11.769401	3072	3377281	0
3072	51	10.713359	3072	3380155	0
3072	51	10.772148	3072	3380160	0
3072	51	10.933177	3072	3380401	0
3072	51	10.800547	3072	3380157	0
3072	51	19.949375	3072	3323421	0
3072	51	15.156250	3072	3357925	0
3072	51	10.655521	3072	3380158	0
3072	51	11.501628	3072	3379665	0
3072	51	10.617305	3072	3380158	0
3072	51	10.933268	3072	3380155	0
3072	93	11.408451	3072	3380158	0
3072	93	12.329466	3072	3379837	0
3072	93	12.132891	3072	3374579	0
3072	93	11.538294	3072	3380164	0
3072	93	11.380768	3072	3380151	0
3072	93	11.696393	3072	3380084	0
3072	93	11.789349	3072	3379524	0
3072	93	20.788021	3072	3287690	0
3072	93	23.018763	3072	3280408	0
3072	93	11.296133	3072	3380156	0
8192	1	9.283782	65536	72091038	0
8192	1	9.131906	65536	72091011	0
8192	1	9.118997	65536	72091138	0
8192	1	10.356718	65536	72090935	0
8192	1	9.302444	65536	72091048	0
8192	1	9.309628	65536	72090863	0
8192	1	9.141262	65536	72091022	0
8192	1	9.212084	65536	72090980	0
8192	1	12.151954	65536	72090737	0
8192	1	9.290805	65536	72091075	0
8192	5	9.344417	13107	14418856	0
8192	5	9.228339	13107	14418733	0
8192	5	9.499696	13107	14418399	0
8192	5	9.299123	13107	14418781	0
8192	5	9.258610	13107	14418806	0
8192	5	9.237665	13107	14418891	0
8192	5	9.402768	13107	14418788	0
8192	5	9.332488	13107	14419116	0
8192	5	9.953048	13107	14416904	0
8192	5	11.282933	13107	14415124	0
8192	12	10.854126	8192	9011844	0
8192	12	10.677095	8192	9012197	0
8192	12	10.709653	8192	9012203	0
8192	12	11.115610	8192	9012284	0
8192	12	10.748354	8192	9012208	0
8192	12	10.964839	8192	9011644	0
8192	12	10.763589	8192	9012393	0
8192	12	11.124438	8192	9012253	0
8192	12	11.340659	8192	9011359	0
8192	12	10.748120	8192	9012219	0
8192	51	15.903267	8192	8977302	0
8192	51	18.642178	8192	8916013	0
8192	51	15.695918	8192	8983284	0
8192	51	13.288896	8192	9011892	0
8192	51	13.291543	8192	9012014	0
8192	51	14.082974	8192	9011389	0
8192	51	13.192134	8192	9012155	0
8192	51	14.838892	8192	8989971	0
8192	51	13.258911	8192	9011780	0
8192	51	13.260293	8192	9012074	0
8192	93	13.620249	8192	9009249	0
8192	93	14.284067	8192	8995087	0
8192	93	13.549746	8192	9012280	0
8192	93	14.990542	8192	8997693	0
8192	93	13.453521	8192	9011431	0
8192	93	14.296270	8192	9006214	0
8192	93	13.639956	8192	9010553	0
8192	93	13.696680	8192	9012109	0
8192	93	13.474399	8192	9012263	0
8192	93	13.461045	8192	9012224	0
16384	1	9.179772	131072	144181201	0
16384	1	9.942299	131072	144180264	0
16384	1	9.333604	131072	144181669	0
16384	1	9.280108	131072	144181700	0
16384	1	10.559840	131072	144181085	0
16384	1	10.653991	131072	144182050	0
16384	1	9.274976	131072	144181527	0
16384	1	11.177559	131072	144180399	0
16384	1	9.330896	131072	144181375	0
16384	1	9.435157	131072	144181848	0
16384	5	9.244364	26214	28836415	0
16384	5	13.447158	26214	28818903	0
16384	5	9.431366	26214	28837015	0
16384	5	9.654369	26214	28836447	0
16384	5	9.271951	26214	28836465	0
16384	5	9.442545	26214	28836696	0
16384	5	9.404675	26214	28836457	0
16384	5	9.291429	26214	28836687	0
16384	5	9.295084	26214	28836375	0
16384	5	10.348522	26214	28832498	0
16384	12	12.364146	16384	18023225	0
16384	12	11.897454	16384	18023138	0
16384	12	15.234973	16384	18016131	0
16384	12	11.771558	16384	18023401	0
16384	12	11.087402	16384	18023534	0
16384	12	11.481599	16384	18022912	0
16384	12	11.182590	16384	18023561	0
16384	12	16.981270	16384	18015973	0
16384	12	17.931377	16384	17973839	0
16384	12	13.987998	16384	18023529	0
16384	51	17.923501	16384	18023221	0
16384	51	18.025803	16384	18023783	0
16384	51	22.341726	16384	17989524	0
16384	51	37.105642	16384	17966219	0
16384	51	22.266365	16384	18008631	0
16384	51	17.391252	16384	18023140	0
16384	51	17.599709	16384	18023553	0
16384	51	20.740093	16384	18021751	0
16384	51	19.819712	16384	17998879	0
16384	51	21.525535	16384	17991826	0
16384	93	17.579348	16384	17982472	0
16384	93	16.658105	16384	18006735	0
16384	93	17.323601	16384	17945808	0
16384	93	17.349177	16384	18003142	0
16384	93	18.211082	16384	17990534	0
16384	93	19.437498	16384	17975986	0
16384	93	17.163083	16384	17993708	0
16384	93	16.898501	16384	18003412	0
16384	93	18.286321	16384	17951680	0
16384	93	19.782720	16384	17950133	0
32768	1	9.841116	262144	288361194	0
32768	1	14.035596	262144	288363393	0
32768	1	9.494147	262144	288361501	0
32768	1	10.586674	262144	288361466	0
32768	1	13.728503	262144	288362819	0
32768	1	9.870679	262144	288363108	0
32768	1	9.760255	262144	288360719	0
32768	1	9.322634	262144	288362552	0
32768	1	12.957552	262144	288360420	0
32768	1	14.844839	262144	288362980	0
32768	5	12.208851	52428	57671466	0
32768	5	11.104168	52428	57671577	0
32768	5	10.864598	52428	57670726	0
32768	5	11.693600	52428	57668845	0
32768	5	10.825507	52428	57671168	0
32768	5	10.299763	52428	57670596	0
32768	5	9.932058	52428	57672122	0
32768	5	10.258381	52428	57671925	0
32768	5	16.269773	52428	57652820	0
32768	5	10.521408	52428	57672370	0
32768	12	22.363953	32768	36046226	0
32768	12	21.946553	32768	36046260	0
32768	12	24.509487	32768	35975000	0
32768	12	19.128335	32768	36046017	0
32768	12	18.177925	32768	36039829	0
32768	12	16.764458	32768	36045668	0
32768	12	23.742098	32768	36024418	0
32768	12	20.127032	32768	36045782	0
32768	12	19.366804	32768	36046046	0
32768	12	22.197271	32768	36045267	0
32768	51	31.054313	32768	35923698	0
32768	51	29.024663	32768	36018265	0
32768	51	26.270526	32768	36045964	0
32768	51	28.100282	32768	36043779	0
32768	51	27.135809	32768	36042494	0
32768	51	30.071591	32768	36023288	0
32768	51	26.538960	32768	36039239	0
32768	51	28.722904	32768	36036175	0
32768	51	24.185292	32768	36045288	0
32768	51	27.921493	32768	36012842	0
32768	93	25.148605	32768	36045978	0
32768	93	30.828990	32768	36045044	0
32768	93	27.012321	32768	36045592	0
32768	93	27.773606	32768	36045597	0
32768	93	27.700145	32768	35982347	0
32768	93	27.309164	32768	36040728	0
32768	93	27.388525	32768	36046671	0
32768	93	27.243214	32768	36040609	0
32768	93	29.203342	32768	35987304	0
32768	93	28.184255	32768	36043730	0
