L	D	resultado	R	PAPI_SR_INS	fallo
256	1	14.942412	2048	410065	0
256	1	14.757227	2048	410065	0
256	1	11.929365	2048	410065	0
256	1	11.380146	2048	410065	0
256	1	12.788330	2048	410065	0
256	1	14.092197	2048	410065	0
256	1	9.640020	2048	410065	0
256	1	9.375723	2048	410065	0
256	1	9.674229	2048	410065	0
256	1	10.555742	2048	410065	0
256	5	9.506112	409	82265	0
256	5	9.532910	409	82265	0
256	5	9.229731	409	82265	0
256	5	9.240489	409	82265	0
256	5	9.241858	409	82265	0
256	5	9.231687	409	82265	0
256	5	9.297995	409	82265	0
256	5	9.251834	409	82265	0
256	5	9.229046	409	82265	0
256	5	9.238044	409	82265	0
256	12	9.370938	256	51665	0
256	12	9.385312	256	51665	0
256	12	9.360625	256	51665	0
256	12	9.520625	256	51665	0
256	12	9.357188	256	51665	0
256	12	9.398125	256	51665	0
256	12	9.393750	256	51665	0
256	12	9.383594	256	51665	0
256	12	9.364375	256	51665	0
256	12	13.689219	256	51665	0
256	51	13.454219	256	51665	0
256	51	9.604375	256	51665	0
256	51	9.380781	256	51665	0
256	51	9.380000	256	51665	0
256	51	9.397969	256	51665	0
256	51	9.375312	256	51665	0
256	51	9.495156	256	51665	0
256	51	10.532187	256	51665	0
256	51	9.376563	256	51665	0
256	51	9.398750	256	51665	0
256	93	9.479375	256	51665	0
256	93	9.415781	256	51665	0
256	93	9.487344	256	51665	0
256	93	9.548750	256	51665	0
256	93	9.426406	256	51665	0
256	93	9.429063	256	51665	0
256	93	9.377812	256	51665	0
256	93	9.400313	256	51665	0
256	93	9.387031	256	51665	0
256	93	9.414062	256	51665	0
768	1	9.092272	6144	1229265	0
768	1	9.094824	6144	1229265	0
768	1	9.091895	6144	1229265	0
768	1	13.150618	6144	1229265	0
768	1	9.598242	6144	1229265	0
768	1	9.088848	6144	1229265	0
768	1	9.154010	6144	1229265	0
768	1	9.106510	6144	1229265	0
768	1	9.091074	6144	1229265	0
768	1	10.193926	6144	1229265	0
