L	D	resultado	R	PAPI_L2_TCA	fallo
256	1	11.865645	2048	21542	0
256	1	9.652441	2048	4791	0
256	1	10.311680	2048	1848	0
256	1	10.359668	2048	1633	0
256	1	9.156387	2048	923	0
256	1	9.670186	2048	1726	0
256	1	9.853750	2048	1768	0
256	1	9.418789	2048	1838	0
256	1	9.107617	2048	1714	0
256	1	9.388340	2048	1789	0
256	5	9.250562	409	491	0
256	5	9.305917	409	537	0
256	5	9.325868	409	503	0
256	5	9.296333	409	665	0
256	5	9.256822	409	521	0
256	5	9.257897	409	524	0
256	5	9.319218	409	516	0
256	5	9.221907	409	504	0
256	5	9.265917	409	517	0
256	5	9.231883	409	522	0
256	12	9.365000	256	507	0
256	12	9.332344	256	503	0
256	12	9.455469	256	503	0
256	12	9.410469	256	506	0
256	12	9.366563	256	530	0
256	12	10.708906	256	994	0
256	12	9.437969	256	498	0
256	12	9.361719	256	523	0
256	12	9.376563	256	513	0
256	12	9.370938	256	509	0
256	51	9.358750	256	506	0
256	51	9.365781	256	508	0
256	51	9.357656	256	489	0
256	51	9.467656	256	515	0
256	51	9.472656	256	513	0
256	51	9.407187	256	515	0
256	51	9.363281	256	500	0
256	51	9.461875	256	509	0
256	51	9.387813	256	507	0
256	51	9.372344	256	522	0
256	93	9.975938	256	6977	0
256	93	9.374844	256	4785	0
256	93	9.429688	256	5418	0
256	93	9.507969	256	5237	0
256	93	9.398750	256	5354	0
256	93	9.477656	256	5614	0
256	93	14.749375	256	12724	0
256	93	9.633125	256	6003	0
256	93	9.399531	256	4499	0
256	93	9.447656	256	5770	0
768	1	9.091634	6144	115700	0
768	1	9.113672	6144	115346	0
768	1	9.115202	6144	115455	0
768	1	9.194479	6144	115469	0
768	1	9.086895	6144	115513	0
768	1	9.087526	6144	115497	0
768	1	9.158652	6144	115568	0
768	1	9.084193	6144	115487	0
768	1	9.560234	6144	115601	0
768	1	9.089570	6144	115480	0
768	5	9.257557	1228	84468	0
768	5	9.224007	1228	84469	0
768	5	9.231564	1228	84618	0
768	5	9.269935	1228	84468	0
768	5	9.290033	1228	84570	0
768	5	9.287524	1228	84352	0
768	5	9.519544	1228	84634	0
768	5	9.259544	1228	84515	0
768	5	9.242182	1228	85054	0
768	5	9.212606	1228	84547	0
768	12	9.713698	768	81641	0
768	12	11.023594	768	81505	0
768	12	9.752240	768	81465	0
768	12	9.468958	768	81622	0
768	12	9.802344	768	81413	0
768	12	9.478542	768	81641	0
768	12	9.484115	768	81694	0
768	12	9.995885	768	81313	0
768	12	12.460677	768	81199	0
768	12	9.924531	768	81438	0
768	51	9.494687	768	81607	0
768	51	9.494896	768	81786	0
768	51	9.571458	768	81744	0
768	51	9.489062	768	81803	0
768	51	9.594896	768	81623	0
768	51	9.651563	768	81766	0
768	51	9.812604	768	81591	0
768	51	9.842344	768	81537	0
768	51	9.847969	768	81530	0
768	51	9.486094	768	81674	0
768	93	9.620052	768	76639	0
768	93	15.613021	768	80875	0
768	93	9.662760	768	77702	0
768	93	9.890104	768	77464	0
768	93	9.870521	768	77805	0
768	93	9.733594	768	77584	0
768	93	9.927500	768	77770	0
768	93	11.222656	768	78276	0
768	93	9.795208	768	76016	0
768	93	9.632865	768	77685	0
2048	1	9.099487	16384	307516	0
2048	1	9.180999	16384	307547	0
2048	1	9.188218	16384	307668	0
2048	1	9.107151	16384	307756	0
2048	1	9.107898	16384	307552	0
2048	1	10.327078	16384	308170	0
2048	1	9.093223	16384	307634	0
2048	1	9.102310	16384	307531	0
2048	1	9.115491	16384	307560	0
2048	1	9.154929	16384	307587	0
2048	5	9.369646	3276	225663	0
2048	5	9.175006	3276	225200	0
2048	5	9.204530	3276	225499	0
2048	5	9.346337	3276	225403	0
2048	5	10.079756	3276	225428	0
2048	5	9.192063	3276	225398	0
2048	5	9.367705	3276	225618	0
2048	5	9.185238	3276	225222	0
2048	5	9.183919	3276	225311	0
2048	5	9.350708	3276	225538	0
2048	12	9.599609	2048	217713	0
2048	12	9.560957	2048	217505	0
2048	12	9.855527	2048	217807	0
2048	12	9.614238	2048	217733	0
2048	12	9.571367	2048	217889	0
2048	12	9.692676	2048	217495	0
2048	12	14.450527	2048	217909	0
2048	12	9.755703	2048	217584	0
2048	12	9.546367	2048	217591	0
