L	D	resultado	R	PAPI_L3_TCM	fallo
256	1	9.107148	2048	39	0
256	1	15.147617	2048	30	0
256	1	10.309453	2048	36	0
256	1	11.475073	2048	19	0
256	1	10.017715	2048	85	0
256	1	9.183984	2048	25	0
256	1	9.161055	2048	23	0
256	1	9.119766	2048	15	0
256	1	9.602715	2048	25	0
256	1	9.104180	2048	19	0
256	5	9.229046	409	27	0
256	5	9.240196	409	35	0
256	5	9.244205	409	28	0
256	5	9.246650	409	23	0
256	5	11.473447	409	19	0
256	5	9.311296	409	21	0
256	5	9.295257	409	21	0
256	5	9.239902	409	22	0
256	5	9.716479	409	258	0
256	5	9.271394	409	49	0
256	12	9.350156	256	21	0
256	12	10.982500	256	25	0
256	12	9.360781	256	25	0
256	12	9.353594	256	20	0
256	12	9.361250	256	28	0
256	12	13.129687	256	39	0
256	12	9.704688	256	107	0
256	12	9.386719	256	27	0
256	12	9.384375	256	46	0
256	12	9.357031	256	22	0
256	51	9.489219	256	53	0
256	51	9.392188	256	40	0
256	51	9.419844	256	43	0
256	51	9.489062	256	39	0
256	51	9.377031	256	34	0
256	51	9.796250	256	44	0
256	51	9.383437	256	28	0
256	51	9.374063	256	27	0
256	51	9.349844	256	20	0
256	51	9.517344	256	52	0
256	93	9.409219	256	40	0
256	93	9.486406	256	26	0
256	93	9.399062	256	29	0
256	93	9.437969	256	27	0
256	93	9.432187	256	29	0
256	93	9.418594	256	22	0
256	93	9.439687	256	38	0
256	93	9.429375	256	43	0
256	93	14.585938	256	28	0
256	93	9.403281	256	27	0
768	1	9.317930	6144	17	0
768	1	9.090983	6144	24	0
768	1	10.498991	6144	175	0
768	1	9.113268	6144	120	0
768	1	9.327988	6144	56	0
768	1	9.182754	6144	19	0
768	1	9.169212	6144	26	0
768	1	9.425970	6144	52	0
768	1	9.134329	6144	124	0
768	1	9.105853	6144	21	0
768	5	9.290326	1228	162	0
768	5	9.236026	1228	54	0
768	5	9.222866	1228	22	0
768	5	9.225016	1228	18	0
768	5	9.256775	1228	77	0
768	5	12.189088	1228	19	0
768	5	9.220391	1228	17	0
768	5	9.236352	1228	56	0
768	5	9.233453	1228	30	0
768	5	9.235440	1228	22	0
768	12	10.298333	768	131	0
768	12	9.463229	768	28	0
768	12	9.459167	768	18	0
768	12	9.450729	768	31	0
768	12	9.503646	768	50	0
768	12	9.535729	768	55	0
768	12	9.468906	768	33	0
768	12	14.061458	768	112	0
768	12	9.497448	768	33	0
768	12	9.472135	768	44	0
768	51	9.609219	768	132	0
768	51	9.814219	768	400	0
768	51	9.533125	768	52	0
768	51	9.509063	768	42	0
768	51	9.676771	768	215	0
768	51	9.520156	768	63	0
768	51	9.508333	768	49	0
768	51	9.740833	768	265	0
768	51	9.640573	768	157	0
768	51	9.493542	768	45	0
768	93	9.843490	768	247	0
768	93	9.778438	768	66	0
768	93	9.624740	768	34	0
768	93	9.685833	768	91	0
768	93	9.852187	768	167	0
768	93	9.913281	768	205	0
768	93	13.404063	768	619	0
768	93	9.598854	768	48	0
768	93	9.627344	768	47	0
768	93	10.195885	768	39	0
2048	1	9.144915	16384	20	0
2048	1	9.216704	16384	401	0
2048	1	9.181875	16384	30	0
2048	1	9.194922	16384	76	0
2048	1	9.212129	16384	94	0
2048	1	9.166777	16384	202	0
2048	1	9.096191	16384	188	0
2048	1	9.115100	16384	21	0
2048	1	9.437876	16384	390	0
2048	1	9.097913	16384	42	0
2048	5	9.180635	3276	24	0
2048	5	9.180256	3276	74	0
2048	5	9.184860	3276	56	0
2048	5	11.276215	3276	569	0
2048	5	9.736874	3276	55	0
2048	5	9.204896	3276	299	0
2048	5	9.207436	3276	186	0
2048	5	9.180330	3276	29	0
2048	5	9.531538	3276	20	0
2048	5	11.591954	3276	189	0
2048	12	9.699180	2048	440	0
2048	12	9.888535	2048	71	0
2048	12	9.984199	2048	238	0
2048	12	9.399473	2048	48	0
2048	12	9.640898	2048	395	0
2048	12	10.348574	2048	799	0
2048	12	9.404824	2048	42	0
2048	12	9.504590	2048	189	0
2048	12	9.909453	2048	512	0
2048	12	9.500996	2048	367	0
2048	51	9.909785	2048	379	0
2048	51	15.166426	2048	1276	0
2048	51	9.913047	2048	170	0
2048	51	10.213906	2048	670	0
2048	51	10.000625	2048	353	0
2048	51	9.845430	2048	413	0
2048	51	11.270996	2048	1422	0
2048	51	9.989688	2048	448	0
2048	51	10.211699	2048	432	0
2048	51	10.010645	2048	251	0
2048	93	9.976289	2048	744	0
2048	93	10.847598	2048	1590	0
2048	93	11.548008	2048	4955	0
2048	93	9.872813	2048	348	0
2048	93	9.984453	2048	610	0
2048	93	10.065859	2048	811	0
2048	93	10.197266	2048	1218	0
2048	93	10.733105	2048	838	0
2048	93	10.175098	2048	687	0
2048	93	9.909766	2048	551	0
3072	1	9.218006	24576	281	0
3072	1	9.153823	24576	50	0
3072	1	9.150200	24576	75	0
3072	1	9.199014	24576	278	0
3072	1	9.137334	24576	73	0
3072	1	9.491758	24576	181	0
3072	1	9.199619	24576	178	0
3072	1	9.134686	24576	34	0
3072	1	9.364443	24576	268	0
3072	1	9.136842	24576	148	0
