L	D	resultado	R	PAPI_LD_INS	fallo
256	1	9.189121	2048	2253752	0
256	1	17.204199	2048	2253751	0
256	1	13.799189	2048	2253633	0
256	1	14.102939	2048	2253665	0
256	1	9.972168	2048	2253743	0
256	1	9.728906	2048	2253751	0
256	1	9.391426	2048	2253752	0
256	1	9.731611	2048	2253751	0
256	1	9.111230	2048	2253752	0
256	1	9.378613	2048	2253756	0
256	5	9.253985	409	450843	0
256	5	9.293888	409	450842	0
256	5	9.232763	409	450841	0
256	5	9.225721	409	450833	0
256	5	9.249584	409	450850	0
256	5	9.241565	409	450845	0
256	5	9.244694	409	450844	0
256	5	9.462885	409	450787	0
256	5	9.236186	409	450839	0
256	5	9.242054	409	450845	0
256	12	13.916250	256	282366	0
256	12	13.495156	256	282537	0
256	12	12.515937	256	282465	0
256	12	9.365781	256	282537	0
256	12	9.943750	256	282550	0
256	12	9.370313	256	282545	0
256	12	9.346250	256	282537	0
256	12	9.355625	256	282543	0
256	12	9.383437	256	282540	0
256	12	9.380156	256	282542	0
256	51	9.372031	256	282540	0
256	51	9.501719	256	282534	0
256	51	9.355156	256	282535	0
256	51	9.366563	256	282536	0
256	51	9.497344	256	282539	0
256	51	9.381875	256	282539	0
256	51	9.400469	256	282534	0
256	51	9.515313	256	282540	0
256	51	9.380625	256	282540	0
256	51	9.353594	256	282536	0
256	93	9.730781	256	282537	0
256	93	9.406719	256	282548	0
256	93	9.409219	256	282539	0
256	93	13.117031	256	281429	0
256	93	15.146562	256	279249	0
256	93	9.414531	256	282541	0
256	93	9.398750	256	282535	0
256	93	9.387656	256	282539	0
256	93	9.444844	256	282543	0
256	93	9.541250	256	282539	0
768	1	9.089199	6144	6759354	0
768	1	9.174167	6144	6759451	0
768	1	9.099154	6144	6759351	0
768	1	9.276823	6144	6759675	0
768	1	9.124609	6144	6759455	0
768	1	9.347272	6144	6759623	0
768	1	9.156595	6144	6759464	0
768	1	10.371777	6144	6759229	0
768	1	9.110241	6144	6759354	0
768	1	9.091029	6144	6759353	0
768	5	9.272997	1228	1351758	0
768	5	9.224137	1228	1351758	0
768	5	9.223420	1228	1351755	0
768	5	9.233616	1228	1351755	0
768	5	9.221661	1228	1351756	0
768	5	9.230098	1228	1351756	0
768	5	9.222476	1228	1351758	0
768	5	11.110977	1228	1352141	0
768	5	9.217329	1228	1351755	0
768	5	9.219772	1228	1351760	0
768	12	9.495833	768	845750	0
768	12	9.462917	768	845755	0
768	12	12.874479	768	844510	0
768	12	12.832396	768	845846	0
768	12	9.474323	768	845761	0
768	12	9.468281	768	845758	0
768	12	9.457656	768	845753	0
768	12	9.489583	768	845758	0
768	12	9.699896	768	845751	0
768	12	9.568802	768	845753	0
768	51	10.052865	768	845755	0
768	51	9.613750	768	845757	0
768	51	9.496094	768	845754	0
768	51	9.501771	768	845758	0
768	51	9.592500	768	845755	0
768	51	9.504687	768	845758	0
768	51	14.605781	768	839496	0
768	51	9.518125	768	845755	0
768	51	9.546146	768	845755	0
768	51	9.483958	768	845757	0
768	93	9.756198	768	845752	0
768	93	9.761979	768	845759	0
768	93	11.253385	768	845759	0
768	93	17.337187	768	836989	0
768	93	9.770573	768	845756	0
768	93	10.645208	768	845100	0
768	93	9.671563	768	845760	0
768	93	13.927083	768	840362	0
768	93	9.814427	768	845760	0
768	93	9.703333	768	845760	0
2048	1	9.113472	16384	18023458	0
2048	1	9.151980	16384	18023544	0
2048	1	9.323450	16384	18023734	0
2048	1	12.778657	16384	18023216	0
2048	1	9.119446	16384	18023489	0
2048	1	9.671841	16384	18023406	0
2048	1	9.126538	16384	18023512	0
2048	1	9.194983	16384	18023560	0
2048	1	9.129529	16384	18023529	0
2048	1	9.229841	16384	18023440	0
2048	5	9.184078	3276	3604558	0
2048	5	9.189438	3276	3604556	0
2048	5	9.182295	3276	3604550	0
2048	5	9.183993	3276	3604559	0
2048	5	9.625299	3276	3604461	0
2048	5	9.184737	3276	3604548	0
2048	5	9.495214	3276	3604675	0
2048	5	9.187460	3276	3604556	0
2048	5	9.182027	3276	3604558	0
2048	5	22.964664	3276	3602194	0
2048	12	10.273262	2048	2253886	0
2048	12	9.718066	2048	2253755	0
2048	12	9.707969	2048	2253757	0
2048	12	9.868730	2048	2253760	0
2048	12	9.523691	2048	2253754	0
2048	12	9.955254	2048	2253761	0
2048	12	9.605430	2048	2253761	0
2048	12	10.635391	2048	2254129	0
2048	12	9.566348	2048	2253858	0
2048	12	9.640879	2048	2253859	0
2048	51	10.159062	2048	2253753	0
2048	51	10.553691	2048	2253762	0
2048	51	10.522168	2048	2253757	0
2048	51	10.870820	2048	2251997	0
2048	51	10.121289	2048	2253756	0
2048	51	10.047109	2048	2253754	0
2048	51	10.349512	2048	2253756	0
2048	51	10.120820	2048	2253754	0
2048	51	10.074609	2048	2253760	0
2048	51	9.998086	2048	2253753	0
2048	93	10.766953	2048	2251645	0
2048	93	10.474375	2048	2253756	0
2048	93	9.935996	2048	2253751	0
2048	93	10.067246	2048	2253759	0
2048	93	9.888652	2048	2253756	0
2048	93	10.272910	2048	2253759	0
2048	93	12.047246	2048	2253754	0
2048	93	12.235996	2048	2253753	0
2048	93	10.124688	2048	2253752	0
2048	93	12.507207	2048	2253588	0
3072	1	9.220342	24576	27035207	0
3072	1	9.111497	24576	27034683	0
3072	1	9.738125	24576	27034832	0
3072	1	9.140594	24576	27034746	0
3072	1	9.113509	24576	27034748	0
3072	1	9.636745	24576	27034786	0
3072	1	9.117223	24576	27034768	0
3072	1	9.440002	24576	27034555	0
3072	1	9.192995	24576	27034704	0
3072	1	9.168411	24576	27034769	0
3072	5	9.185400	4915	5407461	0
3072	5	13.432358	4915	5405894	0
3072	5	14.793180	4915	5403624	0
3072	5	9.312781	4915	5407630	0
3072	5	9.205615	4915	5407563	0
3072	5	9.188175	4915	5407454	0
3072	5	10.316273	4915	5407495	0
3072	5	9.434458	4915	5407615	0
3072	5	9.168269	4915	5407455	0
3072	5	9.200277	4915	5407450	0
3072	12	10.211849	3072	3380158	0
3072	12	10.212135	3072	3380156	0
3072	12	10.902279	3072	3379602	0
3072	12	10.113229	3072	3380154	0
3072	12	10.273880	3072	3380018	0
3072	12	10.263867	3072	3380161	0
3072	12	10.315143	3072	3380158	0
3072	12	10.638737	3072	3379425	0
3072	12	10.115260	3072	3380160	0
3072	12	10.465156	3072	3380232	0
3072	51	14.857682	3072	3362216	0
3072	51	10.912956	3072	3379513	0
3072	51	11.609831	3072	3379342	0
3072	51	10.730977	3072	3380080	0
3072	51	10.607630	3072	3380163	0
3072	51	10.630586	3072	3380161	0
3072	51	10.526888	3072	3380158	0
3072	51	10.721198	3072	3379460	0
3072	51	10.398268	3072	3379594	0
3072	51	10.486953	3072	3380153	0
3072	93	11.166133	3072	3380158	0
3072	93	11.857904	3072	3379202	0
3072	93	11.124974	3072	3380161	0
3072	93	11.246055	3072	3380165	0
3072	93	19.785977	3072	3327041	0
3072	93	11.116042	3072	3380155	0
3072	93	11.277096	3072	3378622	0
3072	93	11.668229	3072	3380394	0
3072	93	11.493359	3072	3380155	0
3072	93	11.129870	3072	3380162	0
8192	1	9.169564	65536	72091035	0
8192	1	9.176763	65536	72091148	0
8192	1	10.674883	65536	72090154	0
8192	1	9.358349	65536	72090963	0
8192	1	9.306317	65536	72091305	0
8192	1	9.121456	65536	72091339	0
8192	1	9.192433	65536	72091229	0
8192	1	10.323727	65536	72090977	0
8192	1	9.229603	65536	72091364	0
8192	1	9.159213	65536	72091200	0
8192	5	9.903862	13107	14417780	0
8192	5	9.218177	13107	14418729	0
8192	5	9.243912	13107	14418866	0
8192	5	9.227936	13107	14418739	0
8192	5	9.527803	13107	14418950	0
8192	5	9.232081	13107	14418725	0
8192	5	13.401187	13107	14410276	0
8192	5	10.170178	13107	14417160	0
8192	5	9.242591	13107	14418734	0
8192	5	9.273039	13107	14418696	0
8192	12	10.777124	8192	9012304	0
8192	12	13.044634	8192	9004989	0
8192	12	10.659873	8192	9012155	0
8192	12	10.675391	8192	9012161	0
8192	12	10.677778	8192	9012160	0
8192	12	11.287334	8192	9012165	0
8192	12	10.639463	8192	9012160	0
8192	12	10.738589	8192	9011868	0
8192	12	10.638213	8192	9012159	0
8192	12	15.935776	8192	8983767	0
8192	51	13.158252	8192	9012166	0
8192	51	13.903730	8192	9011949	0
8192	51	13.218179	8192	9011975	0
8192	51	13.264800	8192	9011691	0
8192	51	13.165176	8192	9012161	0
8192	51	13.178496	8192	9011418	0
8192	51	17.125874	8192	8971385	0
8192	51	13.245176	8192	9012145	0
8192	51	13.380640	8192	9012015	0
8192	51	13.849736	8192	9007449	0
8192	93	13.343042	8192	9012154	0
8192	93	13.334961	8192	9011960	0
8192	93	13.649312	8192	9011789	0
8192	93	13.346201	8192	9011901	0
8192	93	13.957339	8192	9011058	0
8192	93	13.335239	8192	9011933	0
8192	93	13.798276	8192	9012157	0
8192	93	13.300957	8192	9012161	0
8192	93	14.100806	8192	9011660	0
8192	93	13.393447	8192	9010959	0
16384	1	9.998923	131072	144180535	0
16384	1	9.427951	131072	144181483	0
16384	1	9.314976	131072	144181591	0
16384	1	9.811813	131072	144180593	0
16384	1	9.385209	131072	144181157	0
16384	1	12.611180	131072	144182059	0
16384	1	10.382136	131072	144181996	0
16384	1	9.491378	131072	144181230	0
16384	1	9.890048	131072	144181087	0
16384	1	9.324671	131072	144181649	0
16384	5	9.655172	26214	28836492	0
16384	5	9.616864	26214	28836533	0
16384	5	10.242640	26214	28834603	0
16384	5	9.328418	26214	28836506	0
16384	5	11.998648	26214	28826688	0
16384	5	9.735805	26214	28836262	0
16384	5	9.256008	26214	28836696	0
16384	5	9.346281	26214	28836438	0
16384	5	9.267367	26214	28836492	0
16384	5	10.414499	26214	28833969	0
16384	12	11.813511	16384	18023371	0
16384	12	11.511431	16384	18023412	0
16384	12	17.083621	16384	17960203	0
16384	12	11.090933	16384	18023581	0
16384	12	11.186858	16384	18023340	0
16384	12	10.826445	16384	18023418	0
16384	12	13.746240	16384	18015055	0
16384	12	11.180322	16384	18023488	0
16384	12	11.035630	16384	18023382	0
16384	12	11.683450	16384	18023764	0
16384	51	32.592808	16384	17766481	0
16384	51	18.186323	16384	18023787	0
16384	51	15.713069	16384	18019494	0
16384	51	18.147520	16384	18022988	0
16384	51	17.647280	16384	18013047	0
16384	51	19.375840	16384	17974630	0
16384	51	16.705542	16384	18021835	0
16384	51	18.798821	16384	18019435	0
16384	51	20.997903	16384	17985853	0
16384	51	16.333970	16384	18020814	0
16384	93	14.231458	16384	18023626	0
16384	93	16.249973	16384	18022431	0
16384	93	15.581362	16384	18006011	0
16384	93	14.935994	16384	18023509	0
16384	93	15.147659	16384	18023611	0
16384	93	15.252800	16384	18020361	0
16384	93	14.809680	16384	18022194	0
16384	93	15.125071	16384	18021817	0
16384	93	14.042468	16384	18023071	0
16384	93	13.989761	16384	18014288	0
32768	1	9.692922	262144	288361132	0
32768	1	10.433105	262144	288363369	0
32768	1	9.775816	262144	288361314	0
32768	1	9.464400	262144	288361224	0
32768	1	11.293015	262144	288361225	0
32768	1	9.583088	262144	288361471	0
32768	1	11.333115	262144	288362665	0
32768	1	11.535731	262144	288362997	0
32768	1	10.264460	262144	288361795	0
32768	1	10.664321	262144	288362658	0
32768	5	16.868936	52428	57669756	0
32768	5	14.530544	52428	57671295	0
32768	5	13.525200	52428	57668369	0
32768	5	12.483592	52428	57667941	0
32768	5	11.080909	52428	57671410	0
32768	5	10.073390	52428	57672340	0
32768	5	10.819235	52428	57670529	0
32768	5	11.199573	52428	57669782	0
32768	5	10.865161	52428	57672202	0
32768	5	10.323767	52428	57672011	0
32768	12	16.958452	32768	36045986	0
32768	12	17.539249	32768	36046121	0
32768	12	20.375071	32768	36046043	0
32768	12	20.989202	32768	36042949	0
32768	12	20.806265	32768	36028612	0
32768	12	25.894836	32768	35985800	0
32768	12	21.443187	32768	36036990	0
32768	12	20.164230	32768	36038823	0
32768	12	18.352886	32768	36044793	0
32768	12	25.641292	32768	36007180	0
32768	51	29.973394	32768	36033462	0
32768	51	25.108417	32768	36044533	0
32768	51	27.470308	32768	36025474	0
32768	51	26.369150	32768	36045187	0
32768	51	26.702183	32768	36043667	0
32768	51	27.163193	32768	36046603	0
32768	51	26.814984	32768	36028637	0
32768	51	25.421566	32768	36043218	0
32768	51	27.230157	32768	36044273	0
32768	51	26.017400	32768	36028705	0
32768	93	24.426467	32768	36042655	0
32768	93	28.116582	32768	35963795	0
32768	93	23.887643	32768	36046490	0
32768	93	29.129944	32768	35928772	0
32768	93	22.119478	32768	36044786	0
32768	93	28.665797	32768	36006639	0
32768	93	25.417205	32768	36044099	0
32768	93	26.274452	32768	36017309	0
32768	93	22.619010	32768	36043810	0
32768	93	30.151650	32768	35873695	0
