L	D	resultado	R	PAPI_SR_INS	fallo
256	1	14.749756	2048	410065	0
256	1	9.106133	2048	410065	0
256	1	9.746230	2048	410065	0
256	1	11.479180	2048	410065	0
256	1	9.104961	2048	410065	0
256	1	9.157012	2048	410065	0
256	1	9.101289	2048	410065	0
256	1	9.383594	2048	410065	0
256	1	9.117266	2048	410065	0
256	1	9.149824	2048	410065	0
256	5	9.411247	409	82265	0
256	5	9.240880	409	82265	0
256	5	9.231785	409	82265	0
256	5	9.279218	409	82265	0
256	5	9.229829	409	82265	0
256	5	9.241858	409	82265	0
256	5	9.240880	409	82265	0
256	5	9.233643	409	82265	0
256	5	9.252812	409	82265	0
256	5	9.246748	409	82265	0
256	12	13.716875	256	51665	0
256	12	10.368594	256	51665	0
256	12	13.051719	256	51665	0
256	12	12.985156	256	51665	0
256	12	9.365312	256	51665	0
256	12	9.365000	256	51665	0
256	12	9.859844	256	51665	0
256	12	9.361562	256	51665	0
256	12	9.370469	256	51665	0
256	12	9.364688	256	51665	0
256	51	9.354219	256	51665	0
256	51	12.086250	256	51665	0
256	51	9.352187	256	51665	0
256	51	9.365625	256	51665	0
256	51	9.352344	256	51665	0
256	51	9.381094	256	51665	0
256	51	9.494219	256	51665	0
256	51	9.361562	256	51665	0
256	51	11.855625	256	51665	0
256	51	9.441875	256	51665	0
256	93	9.543125	256	51665	0
256	93	9.420781	256	51665	0
256	93	9.430469	256	51665	0
256	93	11.647031	256	51665	0
256	93	14.915313	256	51665	0
256	93	9.478750	256	51665	0
256	93	15.354062	256	51665	0
256	93	9.397031	256	51665	0
256	93	9.449844	256	51665	0
256	93	9.804688	256	51665	0
768	1	9.241146	6144	1229265	0
768	1	9.091693	6144	1229265	0
768	1	9.248529	6144	1229265	0
768	1	9.093704	6144	1229265	0
768	1	9.906849	6144	1229265	0
768	1	9.090521	6144	1229265	0
768	1	9.250299	6144	1229265	0
768	1	9.090332	6144	1229265	0
768	1	9.309466	6144	1229265	0
768	1	9.108600	6144	1229265	0
768	5	9.214072	1228	246065	0
768	5	9.222215	1228	246065	0
768	5	9.221205	1228	246065	0
768	5	9.255733	1228	246065	0
768	5	9.231857	1228	246065	0
768	5	9.221433	1228	246065	0
768	5	13.232443	1228	246065	0
768	5	9.218990	1228	246065	0
768	5	9.239349	1228	246065	0
768	5	9.348306	1228	246065	0
768	12	9.478854	768	154065	0
768	12	9.487344	768	154065	0
768	12	14.004010	768	154065	0
768	12	9.467031	768	154065	0
768	12	9.466042	768	154065	0
768	12	12.577135	768	154065	0
768	12	9.473385	768	154065	0
768	12	9.499063	768	154065	0
768	12	9.483333	768	154065	0
768	12	9.601510	768	154065	0
768	51	9.507344	768	154065	0
768	51	9.478750	768	154065	0
768	51	9.805417	768	154065	0
768	51	9.666875	768	154065	0
768	51	9.514792	768	154065	0
768	51	9.785729	768	154065	0
768	51	9.820000	768	154065	0
