L	D	resultado	clockRate
256	1	16453.331686	2400.6
256	2	27850.665837	2400.2
256	10	5710.662621	2400.4
256	50	1119.943126	2400.4
256	90	625.288102	2400.6
768	1	55465.997812	2400.6
768	2	83294.666005	2400.4
768	10	16799.997143	2400.4
768	50	3497.331299	2400.6
768	90	2027.997370	2400.6
2048	1	443581.333161	2400.4
2048	2	221854.666418	2400.6
2048	10	16172.664990	2400.6
2048	50	9037.318985	2400.4
2048	90	5103.992681	2400.6
3072	1	591358.665861	2400.6
3072	2	332690.666597	2400.4
3072	10	66666.665920	2400.6
3072	50	13646.271171	2400.2
3072	90	7581.329583	2400.6
8192	1	1576659.333244	2400.6
8192	2	788506.664769	2400.2
8192	10	157804.666647	2400.6
8192	50	43181.291024	2400.4
8192	90	19889.317968	2400.6
16384	1	1095507.719958	2400.2
16384	2	1576667.999999	2400.6
16384	10	315463.333243	2400.5
16384	50	23808.663007	2400.2
16384	90	35171.330289	2400.2
32768	1	2326208.262115	2400.2
32768	2	1438117.487512	2400.6
32768	10	709605.333316	2400.6
32768	50	42073.320366	2400.3
32768	90	23389.984560	2400.6
