L	D	resultado	clockRate
256	1	9.041809	3392.5
256	2	19.278046	3392.5
256	10	19.666658	3392.5
256	50	21.729974	3392.5
256	90	20.388281	3392.5
768	1	19.187846	3392.5
768	2	19.221174	3392.5
768	10	19.843064	3392.5
768	50	20.145161	3392.5
768	90	19.580878	3392.5
2048	1	19.211311	3392.5
2048	2	18.161501	3392.5
2048	10	19.748779	3392.5
2048	50	19.584592	3392.5
2048	90	19.862318	3392.5
3072	1	18.088020	3392.5
3072	2	19.226733	3392.5
3072	10	19.832180	3392.5
3072	50	18.726133	3392.5
3072	90	19.687273	3392.5
8192	1	16.193753	3392.5
8192	2	18.146092	3392.5
8192	10	21.536433	3392.5
8192	50	20.524376	3392.5
8192	90	15.425542	3392.5
16384	1	14.651559	3392.5
16384	2	16.233291	3392.5
16384	10	20.311934	3392.5
16384	50	21.507925	3392.5
16384	90	20.561496	3392.5
32768	1	12.058214	3392.5
32768	2	14.854196	3392.5
32768	10	20.684363	3392.5
32768	50	24.791622	3392.5
32768	90	21.769846	3392.5
