L	D	resultado	clockRate
256	1	25295.972695	3392.5
256	2	19702.000000	3392.5
256	10	4037.333223	3392.5
256	50	900.000000	3392.5
256	90	522.855455	3392.5
768	1	117623.333330	3392.5
768	2	58870.666659	3392.5
768	10	11884.000000	3392.5
768	50	2469.985449	3392.5
768	90	1445.318279	3392.5
2048	1	313462.666665	3392.5
2048	2	156791.333330	3392.5
2048	10	31463.999873	3392.4
2048	50	6397.994377	3392.4
2048	90	3649.298209	3392.5
3072	1	442482.666651	3392.4
3072	2	235127.333331	3392.5
3072	10	47132.000000	3392.5
3072	50	9528.000000	3392.5
3072	90	5363.333250	3392.5
8192	1	1253501.333328	3392.4
8192	2	626806.000000	3392.5
8192	10	125468.000000	3392.4
8192	50	25230.658508	3392.4
8192	90	14076.654896	3392.4
16384	1	2506879.999991	3392.5
16384	2	1253503.999983	3392.5
16384	10	250815.333305	3392.5
16384	50	25951.997329	3392.5
16384	90	24983.927324	3392.5
32768	1	4718704.000000	3392.5
32768	2	2368011.411030	3392.5
32768	10	501477.333311	3392.5
32768	50	100393.333329	3392.5
32768	90	55861.999618	3392.5
