L	D	resultado	R
256	1	9.662080	3392.5	2048
256	5	19.712714	3392.5	409
256	12	19.730937	3392.5	256
256	51	20.009141	3392.5	256
256	93	21.038828	3392.5	256
768	1	19.399811	3392.4	6144
768	5	18.865733	3392.5	1228
768	12	20.661302	3392.5	768
768	51	22.388646	3392.5	768
768	93	22.661458	3392.5	768
2048	1	19.746350	3392.5	16384
2048	5	20.076166	3392.5	3276
2048	12	21.554141	3392.5	2048
2048	51	23.417295	3392.5	2048
2048	93	23.256875	3392.5	2048
3072	1	19.664532	3392.5	24576
3072	5	19.766401	3392.5	4915
3072	12	20.704036	3392.5	3072
3072	51	25.369512	3392.5	3072
3072	93	25.939772	3392.4	3072
8192	1	9.448328	3392.4	65536
8192	5	20.176881	3392.4	13107
8192	12	22.239580	3392.4	8192
8192	51	27.765535	3392.4	8192
8192	93	13.224824	3392.5	8192
16384	1	16.905832	3392.4	131072
16384	5	16.879810	3392.5	26214
16384	12	23.778671	3392.5	16384
16384	51	30.176793	3392.4	16384
16384	93	25.418025	3392.4	16384
32768	1	14.999455	3392.5	262144
32768	5	19.611467	3392.5	52428
32768	12	23.964626	3392.5	32768
32768	51	31.669735	3392.4	32768
32768	93	21.682938	3392.4	32768
