L	D	resultado	clockRate
256	1	16.353739	3392.4
256	2	19.374148	3392.5
256	10	20.121022	3392.4
256	50	21.729974	3392.4
256	90	20.166667	3392.4
768	1	19.267137	3392.4
768	2	19.308761	3392.4
768	10	19.998491	3392.4
768	50	21.134387	3392.4
768	90	20.638091	3392.4
2048	1	19.214918	3392.5
2048	2	19.297689	3392.5
2048	10	18.806479	3392.4
2048	50	19.548094	3392.4
2048	90	20.463668	3392.4
3072	1	19.249649	3392.4
3072	2	19.248809	3392.4
3072	10	18.964678	3392.4
3072	50	20.528606	3392.4
3072	90	20.058168	3392.4
8192	1	18.871620	3392.4
8192	2	19.272930	3392.5
8192	10	21.561147	3392.5
8192	50	20.341637	3392.4
8192	90	21.688287	3392.4
16384	1	19.230620	3392.4
16384	2	19.281296	3392.4
16384	10	21.574282	3392.4
16384	50	22.344616	3392.4
16384	90	20.703388	3392.4
32768	1	18.409504	3392.4
32768	2	18.594034	3392.4
32768	10	22.387352	3392.4
32768	50	24.718450	3392.4
32768	90	23.079539	3392.5
