L	D	resultado	R
256	1	9.219629	2048
256	1	9.224336	2048
256	1	9.562188	2048
256	1	9.216855	2048
256	1	9.252168	2048
256	1	9.433242	2048
256	1	9.234687	2048
256	1	9.233281	2048
256	1	9.540781	2048
256	1	9.228711	2048
256	1	9.454863	2048
256	1	9.104473	2048
256	1	9.099590	2048
256	1	9.231563	2048
256	1	9.102813	2048
256	1	9.227695	2048
256	1	9.103281	2048
256	1	9.230840	2048
256	1	9.232871	2048
256	1	9.227676	2048
256	1	9.093828	2048
256	1	9.226777	2048
256	1	9.245938	2048
256	1	9.095098	2048
256	1	9.236738	2048
256	1	9.251973	2048
256	1	9.144590	2048
256	1	20.563066	2048
256	1	41.973340	2048
256	1	11.261250	2048
256	1	9.751387	2048
256	1	9.400723	2048
256	1	9.105078	2048
256	1	9.091465	2048
256	1	9.241270	2048
256	1	9.235332	2048
256	1	9.096191	2048
256	1	9.230313	2048
256	1	9.231367	2048
256	1	9.111777	2048
256	1	9.393086	2048
256	1	10.029512	2048
256	1	9.301875	2048
256	1	9.115820	2048
256	1	9.242656	2048
256	1	9.107129	2048
256	1	9.279258	2048
256	1	9.211641	2048
256	1	9.241934	2048
256	1	9.303906	2048
256	1	9.222988	2048
256	1	9.230352	2048
256	1	9.548379	2048
256	1	9.211562	2048
256	1	9.093164	2048
256	1	9.271426	2048
256	1	9.107773	2048
256	1	9.159629	2048
256	1	9.525625	2048
256	1	9.105254	2048
256	1	9.137148	2048
256	1	9.731992	2048
256	1	9.230020	2048
256	1	9.106660	2048
256	1	9.399277	2048
256	1	9.107559	2048
256	1	9.138438	2048
256	1	9.324844	2048
256	1	9.221113	2048
256	1	9.106914	2048
256	1	9.448477	2048
256	1	9.090820	2048
256	1	9.112305	2048
256	1	9.331758	2048
256	1	9.108574	2048
256	1	9.096836	2048
256	1	9.394121	2048
256	1	9.110137	2048
256	1	9.112852	2048
256	1	9.258828	2048
256	1	9.097969	2048
256	1	9.106270	2048
256	1	9.250742	2048
256	1	9.105078	2048
256	1	9.095391	2048
256	1	9.887559	2048
256	1	9.100762	2048
256	1	9.109902	2048
256	1	9.304570	2048
256	1	9.096152	2048
256	1	9.098965	2048
256	1	9.246602	2048
256	1	9.099395	2048
256	1	9.088848	2048
256	1	9.093418	2048
256	1	9.116738	2048
256	1	9.097461	2048
256	1	9.094375	2048
256	1	9.095000	2048
256	1	9.107441	2048
256	5	9.254377	409
256	5	9.233056	409
256	5	9.238729	409
256	5	9.230122	409
256	5	9.256137	409
256	5	10.306797	409
256	5	9.231980	409
256	5	9.279218	409
256	5	9.275403	409
256	5	9.243716	409
256	5	9.250758	409
256	5	9.244988	409
256	5	9.225917	409
256	5	9.248117	409
256	5	9.260538	409
256	5	9.222494	409
256	5	9.239022	409
256	5	9.261907	409
256	5	9.256235	409
256	5	9.260147	409
256	5	9.220440	409
256	5	9.236675	409
256	5	9.263863	409
256	5	9.249095	409
256	5	9.226797	409
256	5	9.250269	409
256	5	9.268166	409
256	5	9.242347	409
256	5	9.274719	409
256	5	9.250171	409
256	5	9.320489	409
256	5	9.242934	409
256	5	9.227482	409
256	5	9.249389	409
256	5	9.258484	409
256	5	9.266601	409
256	5	9.285966	409
256	5	11.327824	409
256	5	9.227188	409
256	5	9.264743	409
