L	D	resultado	R
256	1	10.325433	2048
256	1	10.064775	2048
256	1	12.588072	2048
256	1	10.461110	2048
256	1	9.151955	2048
256	1	9.421523	2048
256	1	9.175023	2048
256	1	9.157693	2048
256	1	9.128711	2048
256	1	9.130363	2048
256	1	9.126432	2048
256	1	9.194719	2048
256	1	9.142645	2048
256	1	9.169000	2048
256	1	9.133193	2048
256	1	9.162654	2048
256	1	9.176785	2048
256	1	9.129141	2048
256	1	9.149398	2048
256	1	9.121311	2048
256	1	9.126010	2048
256	1	9.146986	2048
256	1	9.143129	2048
256	1	9.129826	2048
256	1	9.131074	2048
256	1	9.125824	2048
256	1	9.221652	2048
256	1	9.450771	2048
256	1	9.284420	2048
256	1	9.124721	2048
256	1	9.144713	2048
256	1	9.134937	2048
256	1	9.141643	2048
256	1	9.141125	2048
256	1	9.135641	2048
256	1	9.144609	2048
256	1	9.122473	2048
256	1	9.129504	2048
256	1	9.138836	2048
256	1	9.132068	2048
256	1	9.132891	2048
256	1	9.126594	2048
256	1	9.118789	2048
256	1	9.136289	2048
256	1	9.120570	2048
256	1	9.125861	2048
256	1	9.123486	2048
256	1	9.122492	2048
256	1	9.260902	2048
256	1	9.135521	2048
256	1	9.172268	2048
256	1	9.127344	2048
256	1	9.121023	2048
256	1	9.138244	2048
256	1	9.131967	2048
256	1	9.125959	2048
256	1	9.125461	2048
256	1	9.111611	2048
256	1	9.147889	2048
256	1	9.134984	2048
256	1	9.127760	2048
256	1	9.116402	2048
256	1	9.120355	2048
256	1	9.181176	2048
256	1	9.131389	2048
256	1	13.792661	2048
256	1	16.689152	2048
256	1	15.816596	2048
256	1	14.662371	2048
256	1	14.340911	2048
256	1	13.764200	2048
256	1	13.277188	2048
256	1	12.878113	2048
256	1	11.778300	2048
256	1	11.992124	2048
256	1	11.096511	2048
256	1	11.579383	2048
256	1	10.927658	2048
256	1	16.659079	2048
256	1	18.505261	2048
256	1	11.981900	2048
256	1	11.948847	2048
256	1	13.960641	2048
256	1	13.565240	2048
256	1	12.911697	2048
256	1	11.499961	2048
256	1	11.173254	2048
256	1	11.112561	2048
