L	D	resultado	R
256	1	16.998242	2048
256	1	14.684375	2048
256	1	11.240381	2048
256	1	11.356543	2048
256	1	9.793496	2048
256	5	12.772910	409
256	5	12.756773	409
256	5	12.444988	409
256	5	9.244597	409
256	5	9.282738	409
256	10	9.390781	256
256	10	9.304063	256
256	10	10.635156	256
256	10	9.409531	256
256	10	13.322656	256
256	17	9.412031	256
256	17	11.596875	256
256	17	9.433906	256
256	17	13.952344	256
256	17	9.369219	256
256	23	9.342187	256
256	23	9.413750	256
256	23	9.386563	256
256	23	9.391875	256
256	23	9.302188	256
256	39	9.415625	256
256	39	9.364844	256
256	39	9.417813	256
256	39	9.449687	256
256	39	11.800625	256
256	51	9.422344	256
256	51	9.321563	256
256	51	9.312656	256
256	51	9.302188	256
256	51	9.387813	256
256	76	9.275469	256
256	76	9.295156	256
256	76	9.399219	256
256	76	9.281094	256
256	76	9.407187	256
256	93	9.470781	256
256	93	9.418906	256
256	93	9.427656	256
256	93	11.538438	256
256	93	12.885312	256
256	98	9.998594	256
256	98	9.464219	256
256	98	9.515937	256
256	98	9.432187	256
256	98	9.380313	256
768	1	9.094505	6144
768	1	9.187435	6144
768	1	9.091484	6144
768	1	9.095599	6144
768	1	9.213236	6144
768	5	9.233062	1228
768	5	9.223160	1228
768	5	9.237818	1228
768	5	9.264951	1228
768	5	9.236287	1228
768	10	9.412708	768
768	10	9.412604	768
768	10	14.980208	768
768	10	13.180104	768
768	10	9.769010	768
768	17	12.410312	768
768	17	11.453281	768
768	17	9.605625	768
768	17	9.653229	768
768	17	11.037083	768
768	23	9.422812	768
768	23	9.423854	768
768	23	9.415625	768
768	23	9.421146	768
768	23	9.403438	768
768	39	9.495052	768
768	39	9.406927	768
768	39	9.579740	768
768	39	9.608698	768
768	39	9.542292	768
768	51	9.492812	768
768	51	9.716198	768
768	51	9.492135	768
768	51	9.515365	768
768	51	10.012552	768
768	76	9.791823	768
768	76	12.096458	768
768	76	9.576354	768
768	76	9.591615	768
768	76	9.612969	768
768	93	10.191510	768
768	93	9.661823	768
768	93	9.602500	768
768	93	9.621042	768
768	93	9.660677	768
768	98	9.665052	768
768	98	9.737344	768
768	98	9.666250	768
768	98	9.642083	768
768	98	9.658073	768
2048	1	9.576296	16384
2048	1	9.157029	16384
2048	1	12.874211	16384
2048	1	15.449164	16384
2048	1	10.279270	16384
2048	5	12.929335	3276
2048	5	12.124283	3276
2048	5	11.782161	3276
2048	5	12.723431	3276
2048	5	13.994554	3276
2048	10	15.884473	2048
2048	10	11.668037	2048
2048	10	15.730137	2048
2048	10	14.837305	2048
2048	10	15.872148	2048
2048	17	12.089727	2048
2048	17	10.578789	2048
2048	17	10.443320	2048
2048	17	10.600840	2048
2048	17	10.454160	2048
2048	23	11.547969	2048
2048	23	11.389844	2048
2048	23	10.623437	2048
2048	23	11.303047	2048
2048	23	11.008008	2048
2048	39	11.356387	2048
2048	39	10.217227	2048
2048	39	10.636543	2048
2048	39	11.403340	2048
2048	39	11.026133	2048
2048	51	10.035840	2048
2048	51	10.164004	2048
2048	51	13.972207	2048
2048	51	10.543164	2048
2048	51	10.896426	2048
2048	76	10.190957	2048
2048	76	10.263457	2048
2048	76	9.790625	2048
2048	76	10.257070	2048
2048	76	10.051230	2048
2048	93	9.863906	2048
2048	93	10.223984	2048
2048	93	12.811406	2048
2048	93	12.752090	2048
2048	93	12.835273	2048
2048	98	12.079316	2048
2048	98	12.232188	2048
2048	98	12.778711	2048
2048	98	11.959902	2048
2048	98	13.094219	2048
3072	1	11.329613	24576
3072	1	9.166419	24576
3072	1	9.145197	24576
3072	1	9.719878	24576
3072	1	9.120500	24576
3072	5	9.908171	4915
3072	5	9.529913	4915
3072	5	9.274336	4915
3072	5	9.638071	4915
3072	5	9.405558	4915
3072	10	10.306497	3072
3072	10	10.144141	3072
3072	10	10.948164	3072
3072	10	11.361576	3072
3072	10	10.331354	3072
3072	17	12.375781	3072
3072	17	11.360339	3072
3072	17	11.132526	3072
3072	17	11.018346	3072
