L	D	resultado	R
256	1	19.038711	2048
256	1	18.593276	2048
256	1	19.633496	2048
256	1	15.071479	2048
256	1	12.980713	2048
256	5	12.578802	409
256	5	12.535452	409
256	5	12.647897	409
256	5	13.155208	409
256	5	22.112176	409
256	10	12.879062	256
256	10	16.483906	256
256	10	12.398594	256
256	10	9.415313	256
256	10	9.349531	256
256	17	10.223906	256
256	17	13.082812	256
256	17	9.333438	256
256	17	9.277500	256
256	17	11.113906	256
256	23	9.296563	256
256	23	9.427656	256
256	23	9.443906	256
256	23	9.318906	256
256	23	9.381562	256
256	39	9.328594	256
256	39	9.394687	256
256	39	9.614844	256
256	39	9.684062	256
256	39	9.665469	256
256	51	9.356250	256
256	51	9.376875	256
256	51	9.393594	256
256	51	9.430312	256
256	51	9.372813	256
256	76	9.387187	256
256	76	13.427500	256
256	76	9.423281	256
256	76	9.438281	256
256	76	9.553437	256
256	93	9.888438	256
256	93	9.761094	256
256	93	9.665000	256
256	93	10.912344	256
256	93	9.734063	256
256	98	9.714844	256
256	98	9.436563	256
256	98	9.599219	256
256	98	9.489062	256
256	98	9.424375	256
768	1	9.146615	6144
768	1	9.284714	6144
768	1	9.144043	6144
768	1	9.131673	6144
768	1	9.112513	6144
768	5	9.253485	1228
768	5	10.417296	1228
768	5	11.187296	1228
768	5	9.569577	1228
768	5	9.465244	1228
768	10	9.415729	768
768	10	9.526979	768
768	10	9.786406	768
768	10	9.393542	768
768	10	9.781510	768
768	17	9.967604	768
768	17	11.453490	768
768	17	10.134219	768
768	17	9.748229	768
768	17	9.633281	768
768	23	9.946250	768
768	23	9.670729	768
768	23	9.418906	768
768	23	9.426667	768
768	23	9.924271	768
768	39	9.676146	768
768	39	9.594167	768
768	39	9.672292	768
768	39	10.113177	768
768	39	9.515000	768
768	51	9.626667	768
768	51	10.641979	768
768	51	9.565365	768
768	51	9.487917	768
768	51	9.485885	768
768	76	9.604792	768
768	76	9.785469	768
768	76	11.306146	768
768	76	9.591771	768
768	76	9.675313	768
768	93	9.624792	768
768	93	9.687500	768
768	93	10.370990	768
768	93	9.609219	768
768	93	9.613906	768
768	98	9.637917	768
768	98	9.633490	768
768	98	22.207604	768
768	98	10.281562	768
768	98	9.747656	768
2048	1	9.149929	16384
2048	1	9.193000	16384
2048	1	9.126372	16384
2048	1	9.293452	16384
2048	1	9.550964	16384
2048	5	9.277411	3276
2048	5	9.242747	3276
2048	5	9.188449	3276
2048	5	9.187766	3276
2048	5	15.146264	3276
2048	10	18.036953	2048
2048	10	19.536836	2048
2048	10	17.299316	2048
2048	10	16.108496	2048
2048	10	14.203887	2048
2048	17	11.086699	2048
2048	17	10.504023	2048
2048	17	10.993398	2048
2048	17	10.464043	2048
2048	17	10.577734	2048
2048	23	11.117266	2048
2048	23	11.616680	2048
2048	23	11.298223	2048
2048	23	10.955332	2048
2048	23	11.320937	2048
2048	39	11.273008	2048
2048	39	10.139922	2048
2048	39	10.226035	2048
2048	39	10.228633	2048
2048	39	10.306621	2048
2048	51	10.221738	2048
2048	51	9.903789	2048
2048	51	10.707930	2048
2048	51	10.100938	2048
2048	51	9.843340	2048
2048	76	10.333379	2048
2048	76	10.169805	2048
2048	76	10.063086	2048
