L	D	resultado	clockRate
256	1	7.585814	3696.5
256	2	7.120650	3696.5
256	10	7.443364	3696.4
256	50	7.206105	3696.3
256	90	7.500000	3696.4
768	1	7.398644	3696.4
768	2	7.423582	3696.4
768	10	7.172077	3696.4
768	50	7.397846	3696.4
768	90	7.066654	3696.4
2048	1	7.082331	3696.4
2048	2	7.082550	3696.4
2048	10	7.161788	3696.4
2048	50	7.221884	3696.5
2048	90	7.311592	3696.4
3072	1	7.080685	3696.5
3072	2	7.082865	3696.5
3072	10	7.323302	3696.4
3072	50	7.195402	3696.4
3072	90	7.233939	3696.4
8192	1	7.079899	3696.5
8192	2	7.243330	3696.4
8192	10	7.478668	3696.4
8192	50	7.821640	3696.5
8192	90	7.231046	3696.4
16384	1	7.078447	3696.5
16384	2	7.088006	3696.4
16384	10	7.485493	3696.4
16384	50	8.966831	3696.4
16384	90	8.102422	3696.4
32768	1	7.078802	3696.4
32768	2	7.079805	3696.4
32768	10	7.487794	3696.4
32768	50	9.201500	3696.4
32768	90	9.089911	3696.4
