L	D	resultado	R
256	1	15.800898	2048
256	1	16.639878	2048
256	1	16.106284	2048
256	1	14.744414	2048
256	1	19.120439	2048
256	1	13.164668	2048
256	1	10.139316	2048
256	1	9.615703	2048
256	1	9.487520	2048
256	1	9.250156	2048
256	1	9.228164	2048
256	1	11.881348	2048
256	1	9.220547	2048
256	1	9.967852	2048
256	1	9.104590	2048
256	1	9.100527	2048
256	1	9.227832	2048
256	1	9.109512	2048
256	1	9.122109	2048
256	1	9.121406	2048
256	1	9.492383	2048
256	1	9.181875	2048
256	1	9.592852	2048
256	1	9.684883	2048
256	1	10.758184	2048
256	1	9.161074	2048
256	1	9.415410	2048
256	1	9.233906	2048
256	1	9.212168	2048
256	1	9.234355	2048
256	1	10.838848	2048
256	1	9.096035	2048
256	1	9.173535	2048
256	1	9.644004	2048
256	1	9.113770	2048
256	1	9.216660	2048
256	1	9.211387	2048
256	1	9.100254	2048
256	1	9.227852	2048
256	1	9.102363	2048
256	1	9.106719	2048
256	1	9.541484	2048
256	1	9.100977	2048
256	1	9.115352	2048
256	1	9.104277	2048
256	1	9.093711	2048
256	1	9.228652	2048
256	1	9.098184	2048
256	1	9.109355	2048
256	1	9.225859	2048
256	1	9.099531	2048
256	1	9.161543	2048
256	1	9.509980	2048
256	1	9.666836	2048
256	1	9.283145	2048
256	1	9.105957	2048
256	1	9.102559	2048
256	1	9.093789	2048
256	1	9.098535	2048
256	1	9.329199	2048
256	1	9.233789	2048
256	1	9.119375	2048
256	1	9.100918	2048
256	1	9.226191	2048
256	1	9.106875	2048
256	1	9.103652	2048
256	1	9.228086	2048
256	1	9.108066	2048
256	1	9.110488	2048
256	1	9.168633	2048
256	1	9.098672	2048
256	1	9.097285	2048
256	1	9.095410	2048
256	1	9.098750	2048
256	1	9.302402	2048
256	1	9.291738	2048
256	1	9.284727	2048
256	1	9.226445	2048
256	1	9.101523	2048
256	1	9.224375	2048
256	1	9.111016	2048
256	1	9.326250	2048
256	1	9.096191	2048
256	1	9.100117	2048
256	1	9.289727	2048
256	1	9.109121	2048
256	1	9.107637	2048
256	1	9.303437	2048
256	1	9.103809	2048
256	1	9.108145	2048
256	1	9.327910	2048
256	1	9.113223	2048
256	1	9.106660	2048
256	1	9.314180	2048
256	1	9.102051	2048
256	1	9.111367	2048
256	1	9.578437	2048
256	1	10.295527	2048
256	1	9.397695	2048
256	1	9.160078	2048
256	5	9.252910	409
256	5	9.272861	409
256	5	9.263374	409
256	5	9.262396	409
256	5	9.244401	409
256	5	9.259853	409
256	5	9.261516	409
256	5	9.279902	409
256	5	9.285183	409
256	5	9.236577	409
256	5	10.293105	409
256	5	9.245086	409
256	5	9.218582	409
256	5	9.243912	409
256	5	9.240196	409
256	5	9.210562	409
256	5	9.722836	409
256	5	9.269242	409
256	5	9.243032	409
256	5	10.381809	409
256	5	9.241760	409
256	5	9.236675	409
256	5	9.254181	409
256	5	9.258680	409
256	5	9.260342	409
256	5	9.276284	409
256	5	9.265819	409
256	5	9.244597	409
256	5	9.256430	409
256	5	23.250465	409
256	5	9.263178	409
256	5	9.348655	409
256	5	9.242836	409
256	5	9.235599	409
256	5	9.256235	409
256	5	9.263472	409
256	5	9.275795	409
256	5	9.245575	409
256	5	9.218875	409
256	5	9.247139	409
256	5	9.317848	409
256	5	13.320880	409
256	5	12.906406	409
256	5	13.089095	409
256	5	12.427971	409
256	5	9.224156	409
256	5	9.243130	409
256	5	9.236577	409
256	5	9.244694	409
256	5	9.246748	409
256	5	9.233839	409
256	5	9.255355	409
256	5	9.236870	409
256	5	22.868655	409
256	5	9.273350	409
256	5	9.244694	409
256	5	10.520782	409
256	5	9.261418	409
256	5	9.321858	409
256	5	9.228949	409
256	5	9.268068	409
256	5	9.272274	409
256	5	9.257702	409
256	5	9.238729	409
256	5	9.244303	409
256	5	9.222005	409
256	5	9.258191	409
256	5	9.266015	409
256	5	9.261125	409
256	5	9.238240	409
256	5	9.263374	409
256	5	9.272958	409
256	5	9.266210	409
256	5	9.270905	409
256	5	9.278826	409
256	5	9.244792	409
256	5	9.228362	409
256	5	9.256822	409
256	5	9.233741	409
256	5	9.248411	409
256	5	9.245477	409
256	5	9.251443	409
256	5	9.260733	409
256	5	9.233936	409
256	5	9.255257	409
256	5	9.261418	409
256	5	9.277848	409
256	5	9.318435	409
256	5	12.750318	409
256	5	9.315599	409
256	5	9.330856	409
256	5	10.145721	409
256	5	9.245477	409
256	5	9.253496	409
256	5	9.974181	409
256	5	9.256724	409
256	5	9.253692	409
256	5	9.240489	409
256	5	9.232372	409
256	5	9.280782	409
256	12	9.325469	256
256	12	9.352656	256
256	12	9.434219	256
256	12	9.398281	256
256	12	9.384688	256
256	12	9.372500	256
256	12	9.366875	256
256	12	9.393750	256
256	12	9.386250	256
256	12	9.397813	256
256	12	9.376406	256
256	12	9.384844	256
256	12	9.388750	256
256	12	9.400313	256
256	12	9.406094	256
256	12	9.388750	256
256	12	9.381719	256
256	12	9.383281	256
256	12	9.369375	256
256	12	9.346562	256
256	12	9.442344	256
256	12	9.389688	256
256	12	13.207812	256
256	12	9.348437	256
256	12	9.377812	256
256	12	10.905000	256
256	12	9.499375	256
256	12	10.326250	256
256	12	9.388750	256
256	12	9.362813	256
256	12	9.392969	256
256	12	9.407031	256
256	12	9.370625	256
256	12	9.286250	256
256	12	9.392344	256
256	12	9.382188	256
256	12	9.429688	256
256	12	9.395312	256
256	12	9.364688	256
256	12	9.367344	256
256	12	9.368281	256
256	12	9.362500	256
256	12	9.373281	256
256	12	9.379219	256
256	12	9.416719	256
256	12	9.382656	256
256	12	9.362969	256
256	12	10.666719	256
256	12	9.364375	256
256	12	13.659844	256
256	12	9.347188	256
256	12	9.398281	256
256	12	9.392031	256
256	12	9.371875	256
256	12	9.389688	256
256	12	9.428437	256
256	12	9.399062	256
256	12	13.022813	256
256	12	9.392188	256
256	12	9.450625	256
256	12	9.392500	256
256	12	9.392656	256
256	12	9.451719	256
256	12	9.376094	256
256	12	9.393594	256
256	12	9.372031	256
256	12	9.373594	256
256	12	9.412187	256
256	12	15.679844	256
256	12	9.379687	256
256	12	9.424375	256
256	12	9.398281	256
256	12	11.168125	256
256	12	9.374531	256
256	12	9.388438	256
256	12	9.372031	256
256	12	9.395781	256
256	12	9.440156	256
256	12	9.383750	256
256	12	9.411875	256
256	12	9.366250	256
256	12	9.373906	256
256	12	9.401719	256
256	12	9.383906	256
256	12	9.376875	256
256	12	9.455000	256
256	12	9.363281	256
256	12	9.356875	256
256	12	9.875937	256
256	12	9.359063	256
256	12	9.450938	256
256	12	9.441875	256
256	12	9.446094	256
256	12	9.422656	256
256	12	9.375781	256
256	12	9.467656	256
256	12	9.410469	256
256	12	9.384844	256
256	12	9.383437	256
256	12	9.393437	256
256	51	9.416719	256
256	51	11.137656	256
256	51	9.395938	256
256	51	9.409375	256
256	51	9.372813	256
256	51	9.399688	256
256	51	9.389375	256
256	51	9.376563	256
256	51	9.410312	256
256	51	9.415313	256
256	51	9.351875	256
256	51	9.379375	256
256	51	9.366875	256
256	51	9.381406	256
256	51	9.385469	256
256	51	9.367031	256
256	51	9.397031	256
256	51	9.392656	256
256	51	9.392500	256
256	51	9.401563	256
256	51	9.392812	256
256	51	9.400469	256
256	51	9.507500	256
256	51	9.680625	256
256	51	9.452031	256
256	51	9.438750	256
256	51	9.903906	256
256	51	9.390469	256
256	51	9.392031	256
256	51	9.386563	256
256	51	9.384063	256
256	51	9.380156	256
256	51	9.371406	256
256	51	9.375156	256
256	51	9.399844	256
256	51	9.387656	256
256	51	9.448438	256
256	51	9.422031	256
256	51	9.383750	256
256	51	9.363906	256
256	51	9.388594	256
256	51	9.421563	256
256	51	9.408594	256
256	51	9.426562	256
256	51	9.382188	256
256	51	9.349844	256
256	51	9.422344	256
256	51	9.352344	256
256	51	14.044375	256
256	51	9.420469	256
256	51	9.389062	256
256	51	13.042031	256
256	51	9.599063	256
256	51	10.691406	256
256	51	9.819531	256
256	51	9.488437	256
256	51	9.483750	256
256	51	9.412187	256
256	51	9.375937	256
256	51	9.371094	256
256	51	9.426250	256
256	51	9.417188	256
256	51	9.402812	256
256	51	9.359063	256
256	51	9.409062	256
256	51	9.380937	256
256	51	9.431875	256
256	51	9.366094	256
256	51	9.370000	256
256	51	10.050937	256
256	51	9.373906	256
256	51	9.389062	256
256	51	9.373125	256
256	51	9.450469	256
256	51	9.398906	256
256	51	9.387187	256
256	51	9.385156	256
256	51	9.406719	256
256	51	9.401250	256
256	51	9.357656	256
256	51	9.447500	256
256	51	9.739219	256
256	51	9.374688	256
256	51	9.597188	256
256	51	9.445781	256
256	51	9.607969	256
256	51	9.454844	256
256	51	9.998437	256
256	51	9.482031	256
256	51	9.777969	256
256	51	9.661250	256
256	51	9.369531	256
256	51	9.442500	256
256	51	9.457344	256
256	51	9.352031	256
256	51	9.382812	256
256	51	9.419531	256
256	51	9.373281	256
256	51	9.348906	256
256	51	9.402969	256
256	93	9.418906	256
256	93	9.460469	256
256	93	9.519844	256
256	93	9.436406	256
256	93	9.456250	256
256	93	9.496562	256
256	93	9.527500	256
256	93	9.504687	256
256	93	9.499219	256
256	93	9.451250	256
256	93	13.595625	256
256	93	11.891875	256
256	93	9.553906	256
256	93	9.565781	256
256	93	9.572656	256
256	93	9.552344	256
256	93	9.477187	256
256	93	9.449687	256
256	93	9.470000	256
256	93	9.457031	256
256	93	9.463125	256
256	93	10.474844	256
256	93	9.440781	256
256	93	9.497188	256
256	93	9.430625	256
256	93	9.479219	256
256	93	9.459531	256
256	93	9.473594	256
256	93	9.450469	256
256	93	9.463281	256
256	93	10.141094	256
256	93	12.756875	256
256	93	9.485938	256
256	93	10.041875	256
256	93	9.446094	256
256	93	9.612969	256
256	93	9.610156	256
256	93	9.512656	256
256	93	9.487187	256
256	93	20.171172	256
256	93	9.420938	256
256	93	20.039687	256
256	93	9.494219	256
256	93	20.167266	256
256	93	17.966602	256
256	93	9.421875	256
256	93	17.961016	256
256	93	9.439375	256
256	93	17.857695	256
256	93	10.672812	256
256	93	17.831953	256
256	93	17.937109	256
256	93	9.455469	256
256	93	17.052852	256
256	93	13.719297	256
256	93	11.481719	256
256	93	16.977266	256
256	93	16.999453	256
256	93	16.873320	256
256	93	13.963398	256
256	93	13.971680	256
256	93	13.946914	256
256	93	14.098789	256
256	93	13.985273	256
256	93	14.013203	256
256	93	13.932734	256
256	93	13.297930	256
256	93	14.032773	256
256	93	14.933242	256
256	93	13.392812	256
256	93	13.375352	256
256	93	13.374805	256
256	93	13.926172	256
256	93	11.844531	256
256	93	10.963125	256
256	93	16.881094	256
256	93	10.882969	256
256	93	10.853594	256
256	93	10.762813	256
256	93	10.894687	256
256	93	10.750781	256
256	93	10.432187	256
256	93	10.537969	256
256	93	10.748437	256
256	93	15.114531	256
256	93	10.339063	256
256	93	10.377187	256
256	93	10.411563	256
256	93	10.384375	256
256	93	10.380313	256
256	93	10.344219	256
256	93	10.017188	256
256	93	10.003984	256
256	93	10.371250	256
256	93	10.158516	256
256	93	10.078359	256
256	93	10.310859	256
256	93	9.982656	256
256	93	14.228047	256
256	93	10.083984	256
768	1	9.957790	6144
768	1	9.482402	6144
768	1	9.463464	6144
768	1	9.365352	6144
768	1	9.093216	6144
768	1	9.178053	6144
768	1	9.088574	6144
768	1	9.174447	6144
768	1	9.096829	6144
768	1	9.183906	6144
768	1	9.188307	6144
768	1	11.040202	6144
768	1	9.244447	6144
768	1	9.261302	6144
768	1	9.145697	6144
768	1	9.266712	6144
768	1	9.268926	6144
768	1	9.142656	6144
768	1	9.346009	6144
768	1	9.260026	6144
768	1	9.313529	6144
768	1	9.107044	6144
768	1	9.689329	6144
768	1	9.920817	6144
768	1	9.288822	6144
768	1	9.266237	6144
768	1	9.468346	6144
768	1	9.293737	6144
768	1	9.266341	6144
768	1	9.268268	6144
768	1	9.175781	6144
768	1	9.270768	6144
768	1	9.269023	6144
768	1	9.756048	6144
768	1	9.226237	6144
768	1	9.243984	6144
768	1	9.112298	6144
768	1	9.147663	6144
768	1	9.270189	6144
768	1	9.132474	6144
768	1	9.307220	6144
768	1	9.201289	6144
768	1	9.159720	6144
768	1	9.268320	6144
768	1	9.262129	6144
768	1	9.606009	6144
768	1	9.266790	6144
768	1	9.324687	6144
768	1	9.087637	6144
768	1	9.320833	6144
768	1	9.269870	6144
768	1	9.159154	6144
768	1	9.326979	6144
768	1	9.270111	6144
768	1	9.359121	6144
768	1	9.095352	6144
768	1	9.091270	6144
768	1	9.212480	6144
768	1	9.265176	6144
768	1	9.164694	6144
768	1	9.401309	6144
768	1	9.323411	6144
768	1	9.271803	6144
768	1	9.367663	6144
768	1	9.379870	6144
768	1	9.271921	6144
768	1	9.162279	6144
768	1	9.274238	6144
768	1	9.270820	6144
768	1	9.360312	6144
768	1	9.346361	6144
768	1	9.331517	6144
768	1	9.156934	6144
768	1	9.322956	6144
768	1	9.265645	6144
768	1	9.330618	6144
768	1	9.431348	6144
768	1	9.272259	6144
768	1	9.212409	6144
768	1	9.329460	6144
768	1	9.267910	6144
768	1	9.564128	6144
768	1	9.304225	6144
768	1	9.107305	6144
768	1	9.274036	6144
768	1	9.138874	6144
768	1	9.091315	6144
768	1	9.262578	6144
768	1	9.147122	6144
768	1	9.264740	6144
768	1	9.097734	6144
768	1	9.135104	6144
768	1	9.274564	6144
768	1	9.560391	6144
768	1	9.286074	6144
768	1	9.271693	6144
768	1	9.268457	6144
768	1	9.330677	6144
768	1	9.338105	6144
768	1	9.268424	6144
768	5	9.576482	1228
768	5	9.421303	1228
768	5	9.425212	1228
768	5	9.240358	1228
768	5	9.232671	1228
768	5	9.431433	1228
768	5	9.233909	1228
768	5	9.231401	1228
768	5	9.409381	1228
768	5	9.440717	1228
768	5	10.065440	1228
768	5	9.496189	1228
768	5	9.252182	1228
768	5	9.466612	1228
768	5	9.241954	1228
768	5	9.517166	1228
768	5	9.440782	1228
768	5	9.433094	1228
768	5	9.234919	1228
768	5	9.417264	1228
768	5	9.417948	1228
768	5	9.231857	1228
768	5	9.573388	1228
768	5	9.438306	1228
768	5	9.434788	1228
768	5	9.525928	1228
768	5	9.420228	1228
768	5	9.233192	1228
768	5	9.648469	1228
768	5	9.460489	1228
768	5	9.579023	1228
768	5	9.431433	1228
768	5	9.232117	1228
768	5	9.418664	1228
768	5	9.238860	1228
768	5	9.921792	1228
768	5	14.173062	1228
768	5	9.250130	1228
768	5	9.451238	1228
768	5	9.245831	1228
768	5	9.240195	1228
768	5	9.432704	1228
768	5	9.238436	1228
768	5	10.267752	1228
768	5	9.417557	1228
768	5	9.421726	1228
768	5	9.244430	1228
768	5	9.241238	1228
768	5	9.426840	1228
768	5	9.230163	1228
768	5	9.604821	1228
768	5	9.234625	1228
768	5	9.237427	1228
768	5	9.242964	1228
768	5	9.228664	1228
768	5	9.227296	1228
768	5	9.229609	1228
768	5	9.257590	1228
768	5	9.238664	1228
768	5	9.267492	1228
768	5	10.531042	1228
768	5	9.288469	1228
768	5	9.280977	1228
768	5	9.383322	1228
768	5	9.253192	1228
768	5	9.628176	1228
768	5	9.227590	1228
768	5	9.895928	1228
768	5	9.429023	1228
768	5	9.500619	1228
768	5	9.233225	1228
768	5	9.239316	1228
768	5	9.241726	1228
768	5	9.246547	1228
768	5	9.236417	1228
768	5	9.245342	1228
768	5	9.234072	1228
768	5	9.241270	1228
768	5	9.241433	1228
768	5	9.234104	1228
768	5	9.232606	1228
768	5	9.237036	1228
768	5	9.234235	1228
768	5	9.229055	1228
768	5	9.228534	1228
768	5	9.235765	1228
768	5	10.818534	1228
768	5	9.272573	1228
768	5	9.262410	1228
768	5	9.286808	1228
768	5	9.240358	1228
768	5	9.414951	1228
768	5	9.223909	1228
768	5	9.236808	1228
768	5	9.238534	1228
768	5	9.245765	1228
768	5	9.223681	1228
768	5	9.220945	1228
768	5	9.233290	1228
768	5	9.239642	1228
768	12	9.459948	768
768	12	9.451979	768
768	12	9.473750	768
768	12	9.464844	768
768	12	9.466563	768
768	12	9.458698	768
768	12	9.466458	768
768	12	9.453906	768
768	12	9.480052	768
768	12	9.464219	768
768	12	9.469323	768
768	12	9.450469	768
768	12	12.362760	768
768	12	9.522969	768
768	12	9.506979	768
768	12	9.525104	768
768	12	10.207083	768
768	12	9.480781	768
768	12	9.459115	768
768	12	9.452344	768
768	12	9.464844	768
768	12	9.456615	768
768	12	9.958906	768
768	12	9.469531	768
768	12	9.475938	768
768	12	9.453594	768
768	12	9.486667	768
768	12	9.450729	768
768	12	9.471250	768
768	12	9.458854	768
768	12	9.432135	768
768	12	9.448438	768
768	12	9.473698	768
768	12	9.453958	768
768	12	9.465469	768
768	12	9.487604	768
768	12	9.463281	768
768	12	9.875312	768
768	12	9.465938	768
768	12	9.492448	768
768	12	9.941771	768
768	12	10.818802	768
768	12	9.522917	768
768	12	9.545312	768
768	12	9.500104	768
768	12	9.473542	768
768	12	10.850573	768
768	12	9.456510	768
768	12	9.528385	768
768	12	9.459167	768
768	12	9.463021	768
768	12	9.460469	768
768	12	9.465938	768
768	12	9.444688	768
768	12	9.462448	768
768	12	9.465729	768
768	12	9.457917	768
768	12	11.364115	768
768	12	9.451979	768
768	12	9.457083	768
768	12	9.461198	768
768	12	9.450938	768
768	12	9.451615	768
768	12	9.460000	768
768	12	9.478125	768
768	12	9.455781	768
768	12	9.484115	768
768	12	10.881875	768
768	12	10.914375	768
768	12	9.506250	768
768	12	9.580990	768
768	12	9.491458	768
768	12	9.498073	768
768	12	9.470104	768
768	12	9.454062	768
768	12	9.455885	768
768	12	11.080729	768
768	12	9.458333	768
768	12	9.462188	768
768	12	9.497083	768
768	12	9.462760	768
768	12	9.452396	768
768	12	9.459010	768
768	12	9.604219	768
768	12	9.459323	768
768	12	9.483125	768
768	12	9.469219	768
768	12	9.450156	768
768	12	9.481667	768
768	12	9.628802	768
768	12	9.451406	768
768	12	9.469427	768
768	12	10.155365	768
768	12	9.453698	768
768	12	10.222292	768
768	12	11.162760	768
768	12	9.490990	768
768	12	9.566771	768
768	12	9.472604	768
768	12	9.689479	768
768	51	9.565417	768
768	51	9.823177	768
768	51	9.613542	768
768	51	9.538542	768
768	51	9.799687	768
768	51	9.753854	768
768	51	10.319010	768
768	51	9.729323	768
768	51	9.782604	768
768	51	9.757865	768
768	51	9.686406	768
768	51	9.671250	768
768	51	9.486406	768
768	51	9.484531	768
768	51	10.974740	768
768	51	9.606042	768
768	51	9.869375	768
768	51	9.857500	768
768	51	9.754271	768
768	51	9.531875	768
768	51	9.500937	768
768	51	10.033958	768
768	51	9.663646	768
768	51	9.886354	768
768	51	9.587188	768
768	51	9.525469	768
768	51	9.808698	768
768	51	9.544948	768
768	51	9.494844	768
768	51	9.490573	768
768	51	9.547083	768
768	51	9.564792	768
768	51	10.046198	768
768	51	9.478281	768
768	51	9.861927	768
768	51	9.552292	768
768	51	9.673021	768
768	51	11.341615	768
768	51	9.559427	768
768	51	10.365990	768
768	51	9.493646	768
768	51	9.695208	768
768	51	9.591094	768
768	51	9.517083	768
768	51	9.569531	768
768	51	9.497188	768
768	51	9.504062	768
768	51	11.283229	768
768	51	9.592865	768
768	51	9.538125	768
768	51	9.733958	768
768	51	9.679115	768
768	51	9.518073	768
768	51	9.813906	768
768	51	9.790260	768
768	51	9.752187	768
768	51	9.617135	768
768	51	18.423854	768
768	51	9.614219	768
768	51	9.879010	768
768	51	9.756823	768
768	51	9.833073	768
768	51	16.990872	768
768	51	16.965039	768
768	51	14.642604	768
768	51	14.637786	768
768	51	10.169167	768
768	51	14.675130	768
768	51	14.647344	768
768	51	15.355234	768
768	51	14.027682	768
768	51	16.036589	768
768	51	11.702266	768
768	51	14.898789	768
768	51	14.456823	768
768	51	12.448398	768
768	51	12.423216	768
768	51	9.757656	768
768	51	12.747604	768
768	51	12.400456	768
768	51	12.729049	768
768	51	11.999622	768
768	51	10.025885	768
768	51	13.111185	768
768	51	10.998437	768
768	51	10.127760	768
768	51	9.992396	768
768	51	11.024375	768
768	51	12.679115	768
768	51	15.961849	768
768	51	13.566172	768
768	51	11.675937	768
768	51	10.671979	768
768	51	10.748646	768
768	51	9.791042	768
768	51	10.046615	768
768	51	10.198281	768
768	51	11.481979	768
768	51	10.040208	768
768	51	10.736458	768
768	93	11.905208	768
768	93	10.614688	768
768	93	10.220208	768
768	93	10.510365	768
768	93	10.214010	768
768	93	10.664844	768
768	93	10.924766	768
768	93	10.038802	768
768	93	10.209010	768
768	93	9.869271	768
768	93	11.232396	768
768	93	10.806615	768
768	93	10.855156	768
768	93	10.931250	768
768	93	11.551823	768
768	93	10.746771	768
768	93	10.943229	768
768	93	11.294375	768
768	93	11.172969	768
768	93	10.377448	768
768	93	11.363021	768
768	93	12.423073	768
768	93	12.413021	768
768	93	10.793750	768
768	93	10.461042	768
768	93	11.636406	768
768	93	11.192813	768
768	93	10.478073	768
768	93	10.337188	768
768	93	9.957135	768
768	93	9.974115	768
768	93	9.993854	768
768	93	10.155521	768
768	93	10.284010	768
768	93	10.542813	768
768	93	19.357109	768
768	93	17.732083	768
768	93	11.883594	768
768	93	11.210365	768
768	93	12.114010	768
768	93	10.740729	768
768	93	12.112083	768
768	93	10.772917	768
768	93	11.446875	768
768	93	10.817344	768
768	93	10.151667	768
768	93	10.631302	768
768	93	10.063437	768
768	93	10.895573	768
768	93	14.700885	768
768	93	17.031615	768
768	93	12.610781	768
768	93	12.850156	768
768	93	10.961250	768
768	93	11.422031	768
768	93	10.658333	768
768	93	10.779635	768
768	93	11.199063	768
768	93	11.143958	768
768	93	11.002708	768
768	93	10.554844	768
768	93	11.547760	768
768	93	10.733906	768
768	93	10.495833	768
768	93	15.718385	768
768	93	16.164583	768
768	93	12.323125	768
768	93	12.201250	768
768	93	11.859063	768
768	93	10.407760	768
768	93	10.392448	768
768	93	11.154687	768
768	93	10.325625	768
768	93	10.991354	768
768	93	11.541823	768
768	93	10.484844	768
768	93	10.786563	768
768	93	10.671823	768
768	93	10.238906	768
768	93	10.570573	768
768	93	12.140000	768
768	93	13.560208	768
768	93	11.472188	768
768	93	10.477813	768
768	93	10.310208	768
768	93	9.688906	768
768	93	9.885781	768
768	93	10.189063	768
768	93	11.590781	768
768	93	10.581250	768
768	93	10.607760	768
768	93	10.915885	768
768	93	11.026615	768
768	93	10.415625	768
768	93	10.468906	768
768	93	11.596250	768
768	93	11.641042	768
768	93	11.734635	768
768	93	11.143854	768
768	93	10.405625	768
2048	1	9.219199	16384
2048	1	9.121985	16384
2048	1	9.307849	16384
2048	1	9.778916	16384
2048	1	9.261042	16384
2048	1	9.289150	16384
2048	1	9.281802	16384
2048	1	9.161682	16384
2048	1	9.354692	16384
2048	1	9.981912	16384
2048	1	9.144075	16384
2048	1	9.170630	16384
2048	1	9.229446	16384
2048	1	9.154258	16384
2048	1	9.772214	16384
2048	1	9.217212	16384
2048	1	9.162429	16384
2048	1	9.201892	16384
2048	1	9.141504	16384
2048	1	9.588096	16384
2048	1	9.368958	16384
2048	1	9.290371	16384
2048	1	9.280757	16384
2048	1	9.347854	16384
2048	1	9.163159	16384
2048	1	10.289629	16384
2048	1	9.204370	16384
2048	1	9.294985	16384
2048	1	9.179927	16384
2048	1	9.132458	16384
2048	1	9.584563	16384
2048	1	9.243101	16384
2048	1	9.311191	16384
2048	1	9.282476	16384
2048	1	9.322065	16384
2048	1	9.292363	16384
2048	1	9.563164	16384
2048	1	9.193047	16384
2048	1	9.097302	16384
2048	1	9.201470	16384
2048	1	9.145847	16384
2048	1	9.626067	16384
2048	1	9.274246	16384
2048	1	9.096384	16384
2048	1	9.197139	16384
2048	1	9.137083	16384
2048	1	9.172256	16384
2048	1	9.588748	16384
2048	1	9.261531	16384
2048	1	9.150195	16384
2048	1	9.101580	16384
2048	1	9.295325	16384
2048	1	9.161418	16384
2048	1	17.882889	16384
2048	1	9.310183	16384
2048	1	9.288940	16384
2048	1	9.124263	16384
2048	1	9.379771	16384
2048	1	9.248621	16384
2048	1	9.697688	16384
2048	1	9.287007	16384
2048	1	9.136311	16384
2048	1	9.287812	16384
2048	1	9.963684	16384
2048	1	9.186487	16384
2048	1	9.121882	16384
2048	1	9.328176	16384
2048	1	9.289038	16384
2048	1	9.452632	16384
2048	1	9.259534	16384
2048	1	9.106460	16384
2048	1	9.180928	16384
2048	1	9.306328	16384
2048	1	9.185391	16384
2048	1	9.667407	16384
2048	1	9.253589	16384
2048	1	9.280239	16384
2048	1	9.273296	16384
2048	1	9.287219	16384
2048	1	9.624136	16384
2048	1	9.264692	16384
2048	1	9.140562	16384
2048	1	9.298687	16384
2048	1	9.280649	16384
2048	1	9.124661	16384
2048	1	9.641333	16384
2048	1	9.323110	16384
2048	1	9.310889	16384
2048	1	9.160823	16384
2048	1	9.121345	16384
2048	1	9.185413	16384
2048	1	9.275337	16384
2048	1	9.329719	16384
2048	1	9.279487	16384
2048	1	9.216169	16384
2048	1	9.160447	16384
2048	1	9.532705	16384
2048	1	9.220146	16384
2048	1	9.105149	16384
2048	1	9.280195	16384
2048	5	9.504603	3276
2048	5	9.404640	3276
2048	5	9.537814	3276
2048	5	9.405446	3276
2048	5	9.618962	3276
2048	5	9.402393	3276
2048	5	9.664005	3276
2048	5	10.725226	3276
2048	5	20.278156	3276
2048	5	20.007589	3276
2048	5	9.844304	3276
2048	5	9.412137	3276
2048	5	10.067179	3276
2048	5	9.700024	3276
2048	5	9.474750	3276
2048	5	9.691905	3276
2048	5	9.487705	3276
